machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_airman_ax12,airman-ax12,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_airman_ax12_2,airman-ax12-2,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_airman_ax15_2,airman-ax15-2,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_airman_ax15u,airman-ax15u,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_airman_ax17u,airman-ax17u,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_ax30u_4,airman-ax30u-4,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_ax351,airman-ax35-1,2,1,1,1,0,0,0,0,review,pass,
mdl_airman_ax352,airman-ax35-2,2,1,1,1,0,0,0,0,review,pass,
mdl_airman_ax35u,airman-ax35u,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_ax35u_4,airman-ax35u-4,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_ax36u,airman-ax36u,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_ax36ucgl,airman-ax36ucgl,1,2,1,2,0,0,0,0,n/a,pass,
mdl_airman_axc12,airman-axc12,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_airman_axc15,airman-axc15,1,1,0,1,0,0,0,0,n/a,review,no_tnt_tracks
mdl_asv_posi_trac_hd4520,asv-posi-trachd4520,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_asv_posi_trac2800,asv-posi-trac2800,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_posi_trac2810,asv-posi-trac2810,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_posi_trac4800,asv-posi-trac4800,0,1,1,2,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_posi_trac4810,asv-posi-trac4810,0,1,1,2,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_posi_trachd4500,asv-posi-trachd4500,0,1,1,2,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_pt_50,asv-pt-50,0,1,1,3,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_pt_60,asv-pt-60,0,1,1,3,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_pt_80,asv-pt-80,0,2,1,5,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_pt100,asv-pt-100,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rc_50,asv-rc-50,0,1,1,3,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_rc_60,asv-rc-60,0,1,1,3,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_rc100,asv-rc100,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rc85,asv-rc85,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
