entity_type,entity_id,handle_or_size,media_role,has_media,url_preview,status
machine,mdl_airman_ax12,airman-ax12,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_airman_ax12_2,airman-ax12-2,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_airman_ax15_2,airman-ax15-2,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_airman_ax15u,airman-ax15u,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_airman_ax17u,airman-ax17u,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-directional-01.webp,pass
machine,mdl_airman_ax30u_4,airman-ax30u-4,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,pass
machine,mdl_airman_ax351,airman-ax35-1,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-01.webp,pass
machine,mdl_airman_ax352,airman-ax35-2,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx84-directional-01.webp,pass
machine,mdl_airman_ax35u,airman-ax35u,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,pass
machine,mdl_airman_ax35u_4,airman-ax35u-4,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,pass
machine,mdl_airman_ax36u,airman-ax36u,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,pass
machine,mdl_airman_ax36ucgl,airman-ax36ucgl,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5x86-mx-01.webp,pass
machine,mdl_airman_axc12,airman-axc12,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_airman_axc15,airman-axc15,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_asv_posi_trac_hd4520,asv-posi-trachd4520,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_posi_trac2800,asv-posi-trac2800,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x56-multi-bar-01.webp,pass
machine,mdl_asv_posi_trac2810,asv-posi-trac2810,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x56-multi-bar-01.webp,pass
machine,mdl_asv_posi_trac4800,asv-posi-trac4800,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x56-multi-bar-01.webp,pass
machine,mdl_asv_posi_trac4810,asv-posi-trac4810,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x56-multi-bar-01.webp,pass
machine,mdl_asv_posi_trachd4500,asv-posi-trachd4500,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x56-multi-bar-01.webp,pass
machine,mdl_asv_pt_50,asv-pt-50,hero,no,,review
machine,mdl_asv_pt_60,asv-pt-60,hero,no,,review
machine,mdl_asv_pt_80,asv-pt-80,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_pt100,asv-pt-100,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rc_50,asv-rc-50,hero,no,,review
machine,mdl_asv_rc_60,asv-rc-60,hero,no,,review
machine,mdl_asv_rc100,asv-rc100,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rc85,asv-rc85,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rcv,asv-rcv,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rcv85,asv-rcv-85,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rt_120f,asv-rt-120f,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rt_135f,asv-rt-135f,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_rt_25,asv-rt25,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_30,asv-rt30,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_40,asv-rt40,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_50,asv-rt-50,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_60,asv-rt-60,hero,no,,review
machine,mdl_asv_rt_65,asv-rt-65,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_75,asv-rt-75,hero,yes,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,pass
machine,mdl_asv_rt_75_hd,asv-rt-75hd,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_sc_50,asv-sc-50,hero,no,,review
machine,mdl_asv_sr80,asv-sr-80,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/457x101.6x51-multi-bar-01.webp,pass
machine,mdl_asv_vt_70,asv-vt-70,hero,no,,review
machine,mdl_bobcat_220,bobcat-220,hero,no,,review
machine,mdl_bobcat_225,bobcat-225,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_231,bobcat-231,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_320,bobcat-320,hero,no,,review
machine,mdl_bobcat_320d,bobcat-320d,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_320e,bobcat-320e,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_321,bobcat-321,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_322,bobcat-322,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_323,bobcat-323,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_324,bobcat-324,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_325,bobcat-325,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-325-hero.webp,pass
machine,mdl_bobcat_328,bobcat-328,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-328-hero.webp,pass
machine,mdl_bobcat_329,bobcat-329,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_331,bobcat-331,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_331e,bobcat-331e,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_334,bobcat-334,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,pass
machine,mdl_bobcat_337,bobcat-337,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_341,bobcat-341,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_418,bobcat-418,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/180x72x39-directional-01.webp,pass
machine,mdl_bobcat_425,bobcat-425,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-425-hero.webp,pass
machine,mdl_bobcat_428,bobcat-428,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-428-hero.webp,pass
machine,mdl_bobcat_430,bobcat-430,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx74-directional-01.webp,pass
machine,mdl_bobcat_435,bobcat-435,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_442,bobcat-442,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_bobcat_864,bobcat-864,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/bobcat-864-hero.webp,pass
