handle,machine_id,brand,model,primary_track_size,publish_status,hero,track_count,uc_count,approved_sizes,shopify_exists,status,issues
airman-ax12,mdl_airman_ax12,Airman,AX12,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
airman-ax12-2,mdl_airman_ax12_2,Airman,AX12-2,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
airman-ax15-2,mdl_airman_ax15_2,Airman,AX15-2,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
airman-ax15u,mdl_airman_ax15u,Airman,AX15U,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
airman-ax17u,mdl_airman_ax17u,Airman,AX17U,230x48x70,ready,no,2,0,1,unknown,review,missing_hero
airman-ax30u-4,mdl_airman_ax30u_4,Airman,AX30U-4,300x52.5x86,ready,no,2,0,1,unknown,review,missing_hero
airman-ax35-1,mdl_airman_ax351,Airman,AX351,300x52.5Nx84,ready,no,1,0,2,unknown,review,missing_hero
airman-ax35-2,mdl_airman_ax352,Airman,AX352,300x52.5Nx84,ready,no,1,0,2,unknown,review,missing_hero
airman-ax35u,mdl_airman_ax35u,Airman,AX35U,300x52.5x86,ready,no,2,0,1,unknown,review,missing_hero
airman-ax35u-4,mdl_airman_ax35u_4,Airman,AX35U-4,300x52.5x86,ready,no,2,0,1,unknown,review,missing_hero
airman-ax36u,mdl_airman_ax36u,Airman,AX36U,300x52.5x86,ready,no,2,0,1,unknown,review,missing_hero
airman-ax36ucgl,mdl_airman_ax36ucgl,Airman,AX36UCGL,300x52.5x86,ready,no,2,0,1,unknown,review,missing_hero
airman-axc12,mdl_airman_axc12,Airman,AXC12,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
airman-axc15,mdl_airman_axc15,Airman,AXC15,230x96x31,ready,no,1,0,1,unknown,review,missing_hero
asv-posi-trachd4520,mdl_asv_posi_trac_hd4520,ASV,POSI-TRAC HD4520,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
asv-posi-trac2800,mdl_asv_posi_trac2800,ASV,POSI-TRAC2800,457x101.6x56,ready,no,1,0,0,unknown,review,missing_hero
asv-posi-trac2810,mdl_asv_posi_trac2810,ASV,POSI-TRAC2810,457x101.6x56,ready,no,1,0,0,unknown,review,missing_hero
asv-posi-trac4800,mdl_asv_posi_trac4800,ASV,POSI-TRAC4800,457x101.6x56,ready,no,1,1,0,unknown,review,missing_hero
asv-posi-trac4810,mdl_asv_posi_trac4810,ASV,POSI-TRAC4810,457x101.6x56,ready,no,1,1,0,unknown,review,missing_hero
asv-posi-trachd4500,mdl_asv_posi_trachd4500,ASV,POSI-TRACHD4500,457x101.6x56,ready,no,1,1,0,unknown,review,missing_hero
asv-pt-50,mdl_asv_pt_50,ASV,PT-50,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
asv-pt-60,mdl_asv_pt_60,ASV,PT-60,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
asv-pt-80,mdl_asv_pt_80,ASV,PT-80,457x101.6x51,ready,no,2,3,0,unknown,review,missing_hero
asv-pt-100,mdl_asv_pt100,ASV,PT100,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rc-50,mdl_asv_rc_50,ASV,RC-50,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
asv-rc-60,mdl_asv_rc_60,ASV,RC-60,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
asv-rc100,mdl_asv_rc100,ASV,RC100,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rc85,mdl_asv_rc85,ASV,RC85,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rcv,mdl_asv_rcv,ASV,RCV,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rcv-85,mdl_asv_rcv85,ASV,RCV85,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rt-120f,mdl_asv_rt_120f,ASV,RT-120F,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rt-135f,mdl_asv_rt_135f,ASV,RT-135F,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-rt25,mdl_asv_rt_25,ASV,RT-25,,blocked,yes,0,0,0,unknown,fail,blocked;no_products;missing_primary_track_size
asv-rt30,mdl_asv_rt_30,ASV,RT-30,,blocked,yes,0,0,0,unknown,fail,blocked;no_products;missing_primary_track_size
asv-rt40,mdl_asv_rt_40,ASV,RT-40,,blocked,yes,0,0,0,unknown,fail,blocked;no_products;missing_primary_track_size
asv-rt-50,mdl_asv_rt_50,ASV,RT-50,,partial,yes,1,0,0,unknown,review,missing_primary_track_size
asv-rt-60,mdl_asv_rt_60,ASV,RT-60,381x100.5x42,ready,no,1,0,0,unknown,review,missing_hero
asv-rt-65,mdl_asv_rt_65,ASV,RT-65,,partial,yes,1,0,0,unknown,review,missing_primary_track_size
asv-rt-75,mdl_asv_rt_75,ASV,RT-75,,partial,yes,1,0,0,unknown,review,missing_primary_track_size
asv-rt-75hd,mdl_asv_rt_75_hd,ASV,RT-75 HD,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-sc-50,mdl_asv_sc_50,ASV,SC-50,381x100.5x42,ready,no,1,2,0,unknown,review,missing_hero
asv-sr-80,mdl_asv_sr80,ASV,SR80,457x101.6x51,ready,no,2,0,0,unknown,review,missing_hero
asv-vt-70,mdl_asv_vt_70,ASV,VT-70,,partial,no,1,0,0,unknown,review,missing_hero;missing_primary_track_size
bobcat-220,mdl_bobcat_220,Bobcat,220,230x72Kx45,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-225,mdl_bobcat_225,Bobcat,225,300x52.5Nx74,ready,no,1,0,1,unknown,review,missing_hero
bobcat-231,mdl_bobcat_231,Bobcat,231,300x52.5Nx80,ready,no,3,0,1,unknown,review,missing_hero
bobcat-320,mdl_bobcat_320,Bobcat,320,230x72Kx45,ready,no,0,1,1,unknown,review,missing_hero
bobcat-320d,mdl_bobcat_320d,Bobcat,320D,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
bobcat-320e,mdl_bobcat_320e,Bobcat,320E,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
bobcat-321,mdl_bobcat_321,Bobcat,321,,partial,no,0,2,0,unknown,review,missing_hero;missing_primary_track_size
bobcat-322,mdl_bobcat_322,Bobcat,322,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
bobcat-323,mdl_bobcat_323,Bobcat,323,,partial,no,0,2,0,unknown,review,missing_hero;missing_primary_track_size
bobcat-324,mdl_bobcat_324,Bobcat,324,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
bobcat-325,mdl_bobcat_325,Bobcat,325,300x52.5Nx74,ready,yes,4,6,1,unknown,pass,
bobcat-328,mdl_bobcat_328,Bobcat,328,300x52.5Nx74,ready,yes,1,0,1,unknown,pass,
bobcat-329,mdl_bobcat_329,Bobcat,329,300x52.5Nx80,ready,no,5,5,1,unknown,review,missing_hero
bobcat-331,mdl_bobcat_331,Bobcat,331,300x52.5Nx80,ready,no,3,6,1,unknown,review,missing_hero
bobcat-331e,mdl_bobcat_331e,Bobcat,331E,300x52.5Nx80,ready,no,2,5,1,unknown,review,missing_hero
bobcat-334,mdl_bobcat_334,Bobcat,334,300x52.5Nx80,ready,no,3,6,1,unknown,review,missing_hero
bobcat-337,mdl_bobcat_337,Bobcat,337,400x72.5Kx74,ready,no,4,7,3,unknown,review,missing_hero
bobcat-341,mdl_bobcat_341,Bobcat,341,400x72.5Kx74,ready,no,7,7,3,unknown,review,missing_hero
bobcat-418,mdl_bobcat_418,Bobcat,418,180x72x39,ready,no,3,0,1,unknown,review,missing_hero
bobcat-425,mdl_bobcat_425,Bobcat,425,300x52.5Nx80,ready,yes,3,4,1,unknown,pass,
bobcat-428,mdl_bobcat_428,Bobcat,428,300x52.5Nx80,ready,yes,2,3,1,unknown,pass,
bobcat-430,mdl_bobcat_430,Bobcat,430,,blocked,no,0,0,0,unknown,fail,blocked;missing_hero;no_products;missing_primary_track_size
bobcat-435,mdl_bobcat_435,Bobcat,435,400x72.5Kx74,ready,no,4,5,3,unknown,review,missing_hero
bobcat-442,mdl_bobcat_442,Bobcat,442,400x72.5Kx74,ready,no,1,2,3,unknown,review,missing_hero
bobcat-864,mdl_bobcat_864,Bobcat,864,320x86x52,ready,yes,24,6,2,unknown,pass,
bobcat-cx27b,mdl_bobcat_cx27b,Bobcat,CX27B,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e08,mdl_bobcat_e08,Bobcat,E08,180x72x39,ready,yes,5,1,1,unknown,pass,
bobcat-e10,mdl_bobcat_e10,Bobcat,E10,180x72x39,ready,yes,5,1,1,unknown,pass,
bobcat-e20,mdl_bobcat_e20,Bobcat,E20,230x48x72,ready,yes,2,0,1,unknown,pass,
bobcat-e25,mdl_bobcat_e25,Bobcat,E25,300x52.5Nx76,ready,no,1,0,2,unknown,review,missing_hero
bobcat-e26,mdl_bobcat_e26,Bobcat,E26,300x52.5Nx80,ready,yes,3,8,1,unknown,pass,
bobcat-e27,mdl_bobcat_e27,Bobcat,E27,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e27z,mdl_bobcat_e27z,Bobcat,E27Z,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e32,mdl_bobcat_e32,Bobcat,E32,300x52.5Nx80,ready,yes,3,5,1,unknown,pass,
