machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_airman_ax12,airman-ax12,/pages/fitment/airman-ax12,/metaobjects/model/airman-ax12,230x96x31,active_v1,pass,
mdl_airman_ax12_2,airman-ax12-2,/pages/fitment/airman-ax12-2,/metaobjects/model/airman-ax12-2,230x96x31,active_v1,pass,
mdl_airman_ax15_2,airman-ax15-2,/pages/fitment/airman-ax15-2,/metaobjects/model/airman-ax15-2,230x96x31,active_v1,pass,
mdl_airman_ax15u,airman-ax15u,/pages/fitment/airman-ax15u,/metaobjects/model/airman-ax15u,230x96x31,active_v1,pass,
mdl_airman_ax17u,airman-ax17u,/pages/fitment/airman-ax17u,/metaobjects/model/airman-ax17u,230x48x70,active_v1,pass,
mdl_airman_ax30u_4,airman-ax30u-4,/pages/fitment/airman-ax30u-4,/metaobjects/model/airman-ax30u-4,300x52.5x86,active_v1,pass,
mdl_airman_ax351,airman-ax35-1,/pages/fitment/airman-ax35-1,/metaobjects/model/airman-ax35-1,300x52.5Nx84,active_v1,pass,
mdl_airman_ax352,airman-ax35-2,/pages/fitment/airman-ax35-2,/metaobjects/model/airman-ax35-2,300x52.5Nx84,active_v1,pass,
mdl_airman_ax35u,airman-ax35u,/pages/fitment/airman-ax35u,/metaobjects/model/airman-ax35u,300x52.5x86,active_v1,pass,
mdl_airman_ax35u_4,airman-ax35u-4,/pages/fitment/airman-ax35u-4,/metaobjects/model/airman-ax35u-4,300x52.5x86,active_v1,pass,
mdl_airman_ax36u,airman-ax36u,/pages/fitment/airman-ax36u,/metaobjects/model/airman-ax36u,300x52.5x86,active_v1,pass,
mdl_airman_ax36ucgl,airman-ax36ucgl,/pages/fitment/airman-ax36ucgl,/metaobjects/model/airman-ax36ucgl,300x52.5x86,active_v1,pass,
mdl_airman_axc12,airman-axc12,/pages/fitment/airman-axc12,/metaobjects/model/airman-axc12,230x96x31,active_v1,pass,
mdl_airman_axc15,airman-axc15,/pages/fitment/airman-axc15,/metaobjects/model/airman-axc15,230x96x31,active_v1,pass,
mdl_asv_posi_trac_hd4520,asv-posi-trachd4520,/pages/fitment/asv-posi-trachd4520,/metaobjects/model/asv-posi-trachd4520,,active_v1,pass,
mdl_asv_posi_trac2800,asv-posi-trac2800,/pages/fitment/asv-posi-trac2800,/metaobjects/model/asv-posi-trac2800,457x101.6x56,active_v1,pass,
mdl_asv_posi_trac2810,asv-posi-trac2810,/pages/fitment/asv-posi-trac2810,/metaobjects/model/asv-posi-trac2810,457x101.6x56,active_v1,pass,
mdl_asv_posi_trac4800,asv-posi-trac4800,/pages/fitment/asv-posi-trac4800,/metaobjects/model/asv-posi-trac4800,457x101.6x56,active_v1,pass,
mdl_asv_posi_trac4810,asv-posi-trac4810,/pages/fitment/asv-posi-trac4810,/metaobjects/model/asv-posi-trac4810,457x101.6x56,active_v1,pass,
mdl_asv_posi_trachd4500,asv-posi-trachd4500,/pages/fitment/asv-posi-trachd4500,/metaobjects/model/asv-posi-trachd4500,457x101.6x56,active_v1,pass,
mdl_asv_pt_50,asv-pt-50,/pages/fitment/asv-pt-50,/metaobjects/model/asv-pt-50,381x100.5x42,active_v1,pass,
mdl_asv_pt_60,asv-pt-60,/pages/fitment/asv-pt-60,/metaobjects/model/asv-pt-60,381x100.5x42,active_v1,pass,
mdl_asv_pt_80,asv-pt-80,/pages/fitment/asv-pt-80,/metaobjects/model/asv-pt-80,457x101.6x51,active_v1,pass,
mdl_asv_pt100,asv-pt-100,/pages/fitment/asv-pt-100,/metaobjects/model/asv-pt-100,457x101.6x51,active_v1,pass,
mdl_asv_rc_50,asv-rc-50,/pages/fitment/asv-rc-50,/metaobjects/model/asv-rc-50,381x100.5x42,active_v1,pass,
mdl_asv_rc_60,asv-rc-60,/pages/fitment/asv-rc-60,/metaobjects/model/asv-rc-60,381x100.5x42,active_v1,pass,
mdl_asv_rc100,asv-rc100,/pages/fitment/asv-rc100,/metaobjects/model/asv-rc100,457x101.6x51,active_v1,pass,
mdl_asv_rc85,asv-rc85,/pages/fitment/asv-rc85,/metaobjects/model/asv-rc85,457x101.6x51,active_v1,pass,
mdl_asv_rcv,asv-rcv,/pages/fitment/asv-rcv,/metaobjects/model/asv-rcv,457x101.6x51,active_v1,pass,
mdl_asv_rcv85,asv-rcv-85,/pages/fitment/asv-rcv-85,/metaobjects/model/asv-rcv-85,457x101.6x51,active_v1,pass,
mdl_asv_rt_120f,asv-rt-120f,/pages/fitment/asv-rt-120f,/metaobjects/model/asv-rt-120f,457x101.6x51,active_v1,pass,
mdl_asv_rt_135f,asv-rt-135f,/pages/fitment/asv-rt-135f,/metaobjects/model/asv-rt-135f,457x101.6x51,active_v1,pass,
mdl_asv_rt_25,asv-rt25,/pages/fitment/asv-rt25,/metaobjects/model/asv-rt25,,active_v1,pass,
mdl_asv_rt_30,asv-rt30,/pages/fitment/asv-rt30,/metaobjects/model/asv-rt30,,active_v1,pass,
mdl_asv_rt_40,asv-rt40,/pages/fitment/asv-rt40,/metaobjects/model/asv-rt40,,active_v1,pass,
mdl_asv_rt_50,asv-rt-50,/pages/fitment/asv-rt-50,/metaobjects/model/asv-rt-50,,active_v1,pass,
mdl_asv_rt_60,asv-rt-60,/pages/fitment/asv-rt-60,/metaobjects/model/asv-rt-60,381x100.5x42,active_v1,pass,
mdl_asv_rt_65,asv-rt-65,/pages/fitment/asv-rt-65,/metaobjects/model/asv-rt-65,,active_v1,pass,
mdl_asv_rt_75,asv-rt-75,/pages/fitment/asv-rt-75,/metaobjects/model/asv-rt-75,,active_v1,pass,
mdl_asv_rt_75_hd,asv-rt-75hd,/pages/fitment/asv-rt-75hd,/metaobjects/model/asv-rt-75hd,457x101.6x51,active_v1,pass,
mdl_asv_sc_50,asv-sc-50,/pages/fitment/asv-sc-50,/metaobjects/model/asv-sc-50,381x100.5x42,active_v1,pass,
mdl_asv_sr80,asv-sr-80,/pages/fitment/asv-sr-80,/metaobjects/model/asv-sr-80,457x101.6x51,active_v1,pass,
mdl_asv_vt_70,asv-vt-70,/pages/fitment/asv-vt-70,/metaobjects/model/asv-vt-70,,active_v1,pass,
mdl_bobcat_220,bobcat-220,/pages/fitment/bobcat-220,/metaobjects/model/bobcat-220,230x72Kx45,active_v1,pass,
mdl_bobcat_225,bobcat-225,/pages/fitment/bobcat-225,/metaobjects/model/bobcat-225,300x52.5Nx74,active_v1,pass,
mdl_bobcat_231,bobcat-231,/pages/fitment/bobcat-231,/metaobjects/model/bobcat-231,300x52.5Nx80,active_v1,pass,
mdl_bobcat_320,bobcat-320,/pages/fitment/bobcat-320,/metaobjects/model/bobcat-320,230x72Kx45,active_v1,pass,
mdl_bobcat_320d,bobcat-320d,/pages/fitment/bobcat-320d,/metaobjects/model/bobcat-320d,,active_v1,pass,
mdl_bobcat_320e,bobcat-320e,/pages/fitment/bobcat-320e,/metaobjects/model/bobcat-320e,,active_v1,pass,
mdl_bobcat_321,bobcat-321,/pages/fitment/bobcat-321,/metaobjects/model/bobcat-321,,active_v1,pass,
mdl_bobcat_322,bobcat-322,/pages/fitment/bobcat-322,/metaobjects/model/bobcat-322,,active_v1,pass,
mdl_bobcat_323,bobcat-323,/pages/fitment/bobcat-323,/metaobjects/model/bobcat-323,,active_v1,pass,
mdl_bobcat_324,bobcat-324,/pages/fitment/bobcat-324,/metaobjects/model/bobcat-324,,active_v1,pass,
mdl_bobcat_325,bobcat-325,/pages/fitment/bobcat-325,/metaobjects/model/bobcat-325,300x52.5Nx74,active_v1,pass,
mdl_bobcat_328,bobcat-328,/pages/fitment/bobcat-328,/metaobjects/model/bobcat-328,300x52.5Nx74,active_v1,pass,
mdl_bobcat_329,bobcat-329,/pages/fitment/bobcat-329,/metaobjects/model/bobcat-329,300x52.5Nx80,active_v1,pass,
mdl_bobcat_331,bobcat-331,/pages/fitment/bobcat-331,/metaobjects/model/bobcat-331,300x52.5Nx80,active_v1,pass,
mdl_bobcat_331e,bobcat-331e,/pages/fitment/bobcat-331e,/metaobjects/model/bobcat-331e,300x52.5Nx80,active_v1,pass,
mdl_bobcat_334,bobcat-334,/pages/fitment/bobcat-334,/metaobjects/model/bobcat-334,300x52.5Nx80,active_v1,pass,
mdl_bobcat_337,bobcat-337,/pages/fitment/bobcat-337,/metaobjects/model/bobcat-337,400x72.5Kx74,active_v1,pass,
mdl_bobcat_341,bobcat-341,/pages/fitment/bobcat-341,/metaobjects/model/bobcat-341,400x72.5Kx74,active_v1,pass,
mdl_bobcat_418,bobcat-418,/pages/fitment/bobcat-418,/metaobjects/model/bobcat-418,180x72x39,active_v1,pass,
mdl_bobcat_425,bobcat-425,/pages/fitment/bobcat-425,/metaobjects/model/bobcat-425,300x52.5Nx80,active_v1,pass,
mdl_bobcat_428,bobcat-428,/pages/fitment/bobcat-428,/metaobjects/model/bobcat-428,300x52.5Nx80,active_v1,pass,
mdl_bobcat_430,bobcat-430,/pages/fitment/bobcat-430,/metaobjects/model/bobcat-430,,active_v1,pass,
