handle,sku,title,price,has_image,type,track_size,tread,part_type,status,issues
150x48x67-v-pattern,TNT1504867HDV,"6"" Heavy Duty V Pattern Rubber Track (150x48Bx67)",395.00,no,Rubber Tracks,150x48Bx67,V Pattern,,review,missing_image
160x87-63x28-multi-bar,TNT160876328XD,"6"" Extreme Duty Multi-Bar Pattern Rubber Track (160x87.63x28)",237.00,yes,Rubber Tracks,160x87.63x28,Multi-Bar,,pass,
160x87-63x37-multi-bar,TNT160876337XD,"6"" Extreme Duty Multi-Bar Pattern Rubber Track (160x87.63x37)",321.00,no,Rubber Tracks,160x87.63x37,Multi-Bar,,review,missing_image
180x72kx44-mx,TNT18072K44HD,"7"" Heavy Duty MX Pattern Rubber Track (180X72KX44)",235.00,yes,Rubber Tracks,180X72KX44,MX,,pass,
180x72kx45-mx,TNT18072K45HD,"6"" Heavy Duty MX Pattern Rubber Track (180X72KX45)",237.00,yes,Rubber Tracks,180X72KX45,MX,,pass,
180x72x33-directional,TNT1807233HD,"7"" Heavy Duty DR Pattern Rubber Track (180x72x33)",161.00,yes,Rubber Tracks,180x72x33,Directional,,pass,
180x72x36-directional,TNT1807236HD,"7"" Heavy Duty DR Pattern Rubber Track (180x72x36)",171.00,yes,Rubber Tracks,180x72x36,Directional,,pass,
180x72x37-c,TNT1807237HDC,"7"" Heavy Duty C Pattern Rubber Track (180x72x37)",171.00,yes,Rubber Tracks,180x72x37,C-Block,,pass,
180x72x39-nd,TNT1806039HD,"7"" Heavy Duty ND Pattern Rubber Track (180x60x39)",156.00,yes,Rubber Tracks,180x60x39,ND,,pass,
180x72x40-wave,TNT1807240HD,"7"" Heavy Duty Wave Rubber Track (180x72x40)",186.00,yes,Rubber Tracks,180x72x40,Wave,,pass,
180x72x41-directional,TNT1807241HD,"7"" Heavy Duty DR Pattern Rubber Track (180x72x41)",205.00,yes,Rubber Tracks,180x72x41,Directional,,pass,
180x72x42-c,TNT1807242HDC,"7"" Heavy Duty C Pattern Rubber Track (180x72x42)",191.00,yes,Rubber Tracks,180x72x42,C-Block,,pass,
230x48nx72-directional,TNT2304872HD,"9"" Heavy Duty DR Pattern Rubber Track (230x48x72)",415.00,yes,Rubber Tracks,230x48x72,Directional,,pass,
230x48x60-directional,TNT2304860HD,"9"" Heavy Duty DR Pattern Rubber Track (230x48x60)",365.00,yes,Rubber Tracks,230x48x60,Directional,,pass,
230x48x62-mx,TNT2304862HD,"9"" Heavy Duty MX Pattern Rubber Track (230x48x62)",377.00,yes,Rubber Tracks,230x48x62,MX,,pass,
230x48x64-mx,TNT2304864HD,"9"" Heavy Duty MX Pattern Rubber Track (230x48x64)",380.00,yes,Rubber Tracks,230x48x64,MX,,pass,
230x48x68-mx,TNT2304868HD,"9"" Heavy Duty MX Pattern Rubber Track (230x48x68)",400.00,yes,Rubber Tracks,230x48x68,MX,,pass,
230x48x70-mx,TNT2304870HD,"9"" Heavy Duty MX Pattern Rubber Track (230x48x70)",410.00,yes,Rubber Tracks,230x48x70,MX,,pass,
230x72kx44-mx,TNT23072K44HD,"9"" Heavy Duty MX Pattern Rubber Track (230X72KX44)",365.00,no,Rubber Tracks,230X72KX44,MX,,review,missing_image
230x72kx45-mx,TNT23072K45HD,"9"" Heavy Duty MX Pattern Rubber Track (230X72KX45)",390.00,no,Rubber Tracks,230X72KX45,MX,,review,missing_image
230x72x39-c,TNT2307239HDC,"9"" Heavy Duty C Pattern Rubber Track (230x72x39)",302.00,yes,Rubber Tracks,230x72x39,C-Block,,pass,
230x72x42-mx,TNT2307242HD,"9"" Heavy Duty MX Pattern Rubber Track (230x72x42)",312.00,yes,Rubber Tracks,230x72x42,MX,,pass,
230x72x43-directional,TNT2307243HD,"9"" Heavy Duty DR Pattern Rubber Track (230x72x43)",345.00,yes,Rubber Tracks,230x72x43,Directional,,pass,
240x87-63x28-multi-bar,TNT240876328XD,"9.5"" Extreme Duty Multi-Bar Pattern Rubber Track (240x87.63x28)",341.00,yes,Rubber Tracks,240x87.63x28,Multi-Bar,,pass,
240x87-63x28-mx,TNT240876328XDNM,"9.5"" Extreme Duty MX Pattern Non-Marking Rubber Track (240x87.63x28)",376.00,yes,Rubber Tracks,240x87.63x28,MX,,pass,
240x87-63x37-multi-bar,TNT240876337XDNM,"9.5"" Extreme Duty MX Pattern Non-Marking Rubber Track (240x87.63x37)",555.00,yes,Rubber Tracks,240x87.63x37,Multi-Bar,,pass,
250x48bx67-directional,TNT2504867HD,"10"" Heavy Duty DR Pattern Rubber Track (250x48Bx67)",450.00,no,Rubber Tracks,250x48Bx67,Directional,,review,missing_image
250x72x39-directional,TNT2507239HD,"10"" Heavy Duty DR Pattern Rubber Track (250x72x39)",340.00,no,Rubber Tracks,250x72x39,Directional,,review,missing_image
250x72x52-c,TNT2507252HDC,"10"" Heavy Duty C Pattern Rubber Track (250x72x52)",445.00,no,Rubber Tracks,250x72x52,C-Block,,review,missing_image
250x72x52-directional,TNT2507252HD,"10"" Heavy Duty DR Pattern Rubber Track (250x72x52)",425.00,no,Rubber Tracks,250x72x52,Directional,,review,missing_image
300x52-5kx86-mx,TNT300525K86HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Kx86)",865.00,yes,Rubber Tracks,300x52.5Kx86,MX,,pass,
300x52-5kx88-directional,TNT300525K88HD,"12"" Heavy Duty DR Pattern Rubber Track (300x52.5Kx88)",885.00,yes,Rubber Tracks,300x52.5Kx88,Directional,,pass,
300x52-5nx74-mx,TNT300525N74HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Nx74)",680.00,yes,Rubber Tracks,300x52.5Nx74,MX,,pass,
300x52-5nx76-mx,TNT300525N76HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Nx76)",695.00,yes,Rubber Tracks,300x52.5Nx76,MX,,pass,
300x52-5nx80-directional,TNT300525N80HD,"12"" Heavy Duty DR Pattern Rubber Track (300x52.5Nx80)",725.00,yes,Rubber Tracks,300x52.5Nx80,Directional,,pass,
300x52-5nx84-mx,TNT300525N84HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Nx84)",755.00,yes,Rubber Tracks,300x52.5Nx84,MX,,pass,
300x52-5nx92-directional,TNT300525N92HD,"12"" Heavy Duty DR Pattern Rubber Track (300x52.5Nx92)",810.00,yes,Rubber Tracks,300x52.5Nx92,Directional,,pass,
300x52-5wx78-mx,TNT300525N78HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Nx78)",710.00,yes,Rubber Tracks,300x52.5Nx78,MX,,pass,
300x52-5wx82-nd,TNT300525W82HD,"12"" Heavy Duty ND Pattern Rubber Track (300x52.5Wx82)",745.00,yes,Rubber Tracks,300x52.5Wx82,ND,,pass,
300x52-5wx86-mx,TNT300525N86HD,"12"" Heavy Duty MX Pattern Rubber Track (300x52.5Nx86)",770.00,yes,Rubber Tracks,300x52.5Nx86,MX,,pass,
300x52-5wx90-nd,TNT300525W90HD,"12"" Heavy Duty ND Pattern Rubber Track (300x52.5Wx90)",805.00,yes,Rubber Tracks,300x52.5Wx90,ND,,pass,
300x53x84-mx,TNT3005384HD,"12"" Heavy Duty MX Pattern Rubber Track (300x53x84)",875.00,yes,Rubber Tracks,300x53x84,MX,,pass,
300x55-5x82-mx,TNT30055582HD,"12"" Heavy Duty MX Pattern Rubber Track (300x55.5x82)",860.00,yes,Rubber Tracks,300x55.5x82,MX,,pass,
300x86x48-c,TNT3008648HDC,"12"" Heavy Duty C Pattern Rubber Track (300x86Bx48)",675.00,yes,Rubber Tracks,300x86Bx48,C-Block,,pass,
320x100x40-t-bar,TNT32010040HDTB,"13"" Heavy Duty T-Bar Rubber Track (320x100x40)",655.00,yes,Rubber Tracks,320x100x40,T-Bar,,pass,
