# Heavy Iron Supply Co. Catalog Matrix
Source of truth: Supabase normalized product, model, and fitment tables.
Generated: 2026-06-23T02:26:32.209Z
Use this file to resolve rubber track dimensions, tread patterns, compatible machine makes/models, product URLs, stock, and pricing.

| SKU | Product | URL | Size | Width MM | Pitch MM | Links | Tread | Price USD | Stock | Compatible Machines |
| --- | --- | --- | --- | ---: | ---: | ---: | --- | ---: | --- | --- |
| TNT2304860HD | 9" Heavy Duty DR Pattern Rubber Track (230x48x60) | /products/230x48x60-rubber-track-directional | 230x48x60 | 230 | 48 | 60 | Directional | 365 | in_stock | Case 17RTNMAXI; Kubota KX041 |
| FI267-4813 | Heavy Duty Front Idler | /products/heavy-duty-front-idler-fi267-4813 |  |  |  |  |  | 552 | out_of_stock | CAT 305.5E2 CR; CAT 305.5D CR; CAT 304C CR; CAT 305.5E CR; CAT 305C CR; CAT 305E CR |
| TR4357785 | Heavy Duty Track Roller | /products/heavy-duty-track-roller-tr4357785 |  |  |  |  |  | 138 | in_stock | Hitachi ZX50U; John Deere 50ZTS |
| RRV0211-24100 | Heavy Duty Rear Idler | /products/heavy-duty-rear-idler-rrv0211-24100 |  |  |  |  |  | 350 | in_stock | Kubota SVL65-2 |
| MINI4N1-54 | MINI 4-N-1 BUCKET, 54” | /products/mini-4-n-1-bucket-54-mini4n1-54 |  |  |  |  |  | 2481 | out_of_stock |  |
| TT-180X72X37-CB | 180x72x37 C-Block Rubber Track | /products/180x72x37-rubber-track-c-block | 180x72x37 | 180 | 72 | 37 | C-Block | 191.52 | out_of_stock |  |
| FI6815125 | Heavy Duty Front Idler | /products/heavy-duty-front-idler-fi6815125 |  |  |  |  |  | 668 | in_stock | Bobcat E45; Bobcat 337; Bobcat 435; Bobcat E50; Bobcat E55; Bobcat 341 |
| TT-320X54X72-AT | 320x54x72 All-Terrain Rubber Track | /products/320x54x72-rubber-track-all-terrain | 320x54x72 | 320 | 54 | 72 | All-Terrain | 834.4 | out_of_stock |  |
| SD4N1-66 | SD 4-N-1 BUCKET, 66” | /products/sd-4-n-1-bucket-66-sd4n1-66 |  |  |  |  |  | 3155 | out_of_stock |  |
| FI06814-00019 | Heavy Duty Front Idler | /products/heavy-duty-front-idler-fi06814-00019 |  |  |  |  |  | 490 | out_of_stock | Takeuchi TL8R2; Takeuchi TL10V2 |
| TT-230-72-39 | Ditch Witch HT 25K (Saw machine) Replacement Rubber Tracks 230x72Bx39 Directional | /products/230x72bx39-directional-rubber-tracks | 230x72Bx39 | 230 | 72 | 39 | Directional | 332.2 | out_of_stock |  |
| uc-7227421 | Sprocket (alt) 7227421 | /products/sprocket-alt-7227421-028d7d |  |  |  |  |  |  | out_of_stock |  |
| TNT35075574HD | 14" Heavy Duty MX Pattern Rubber Track (350x75.5x74) | /products/tnt35075574hd | 350x75.5x74 | 350 | 75.5 | 74 | MX | 1360 | in_stock | Gehl Z45; Yanmar ViO45-5 |
| SD3208648BJW | 13" Camso Heavy Duty Camso SD Pattern Rubber Track (320X86Tx48) | /products/sd3208648bjw | 320X86Tx48 | 320 | 86 | 48 | Camso SD | 675 | in_stock | Takeuchi TL26 |
| BS3208649CXD | 13" Bridgestone Extreme Duty C Pattern Rubber Track (320x86Bx49) | /products/bs3208649cxd | 320x86Bx49 | 320 | 86 | 49 | C-Block | 1115 | in_stock | Bobcat T595; CAT 249D3; Bobcat T180; CAT 249D; Bobcat T590; CAT 239D3; Bobcat T190; Gehl RT165; Mustang 1650RT; Bobcat T550; CAT 239D |
| XBHB12 | BACKHOE BUCKET, 12” | /products/backhoe-bucket-12-xbhb12 |  |  |  |  |  | 559 | out_of_stock |  |
| TT-400X75-5X74-MX | 400x75.5x74 MX Rubber Track | /products/400x75-5x74-rubber-track-mx | 400x75.5x74 | 400 | 75.5 | 74 | MX | 1797.6 | out_of_stock |  |
| TT-400X72-5WX70-MX | 400x72.5Wx70 MX Rubber Track | /products/400x72-5wx70-rubber-track-mx | 400x72.5Wx70 | 400 | 72.5 | 70 | MX | 1461.6 | out_of_stock |  |
| SD30052588V1IWA | JCB 8035Z Replacement Rubber Tracks 300x52.5Wx88 MX | /products/300x52.5wx88-mx-rubber-tracks | 300x52.5Wx88 | 300 | 52.5 | 88 | MX | 859.04 | out_of_stock |  |
| TT-300X52-5WX78-MX | 300x52.5Wx78 MX Rubber Track | /products/300x52-5wx78-rubber-track-mx | 300x52.5Wx78 | 300 | 52.5 | 78 | MX | 1084.16 | out_of_stock |  |
