Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,Published Scope,Template Suffix,Top Row,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Weight,Variant Weight Unit,Variant Inventory Policy,Variant Inventory Tracker,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Metafield: custom.attachment_specs [json]
cid-3-point-hitch-quick-attach,MERGE,3-Point Hitch Quick Attach,"<p><strong>3-Point Hitch Quick Attach</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, other",Active,TRUE,web,attachment,TRUE,Size,3PTQAP,,,,,3PTQAP,561.20,634.40,488.00,154,lb,continue,,manual,True,True,,,,
cid-3-point-hitch-quick-attach,,,,,,,,,,,,Size,3PTQAPCAT2,,,,,3PTQAPCAT2,910.80,1029.60,792.00,251,lb,continue,,manual,True,True,,,,
cid-auger-bits,MERGE,CID Auger Bits & Adapters,"<p><strong>CID Auger Bits & Adapters</strong> is a jobsite-ready CID attachment for contractors who need dependable performance without wasted downtime.</p><ul><li><strong>Heavy-duty build</strong> for construction, grading, land clearing, and material handling.</li><li><strong>Machine compatibility support</strong> — confirm coupler, mount, hydraulic flow, and sizing before purchase.</li><li><strong>Freight support</strong> available for large attachments.</li></ul><p>Heavy Iron Supply Co. supplies CID attachments, rubber tracks, and undercarriage parts nationwide.</p>",CID Attachments,Skid Steer Attachment,"Attachment, cid-attachments, auger, forks, other",Active,TRUE,web,attachment,TRUE,Size,CID8002M,,,,,CID8002M,473.80,535.60,412.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,CID8005M,,,,,CID8005M,276.00,312.00,240.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,CID8008M,,,,,CID8008M,276.00,312.00,240.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,CID8010M,,,,,CID8010M,569.25,643.50,495.00,,,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"30""",,,,,CID8030,1162.65,1314.30,1011.00,199,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"36""",,,,,CID8050,1451.30,1640.60,1262.00,261,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"4""",,,,,CID8081,354.20,400.40,308.00,42,lb,continue,,manual,True,True,,,,
cid-auger-bits,,,,,,,,,,,,Size,"15""",,,,,CID8083,654.35,739.70,569.00,103,lb,continue,,manual,True,True,,,,
