ID,Handle,Command,Variant SKU
10532903026975,tnt36x13-20hdtlbc,DELETE,TNT36X13-20HDTLBC
10532903125279,tnt36x13-20hdtr,DELETE,TNT36X13-20HDTR
10532903190815,tnt36x13-20hdtl,DELETE,TNT36X13-20HDTL
10532902994207,tnt36x13-20hdtrbc,DELETE,TNT36X13-20HDTRBC
10532907155743,tntpr10165stdblkl,DELETE,TNTPR10165STDBLKL
10532907450655,tntpr12165wdblkr,DELETE,TNTPR12165WDBLKR
10532907286815,tntpr10165stdblkr,DELETE,TNTPR10165STDBLKR
10532907385119,tntpr12165stdblkr,DELETE,TNTPR12165STDBLKR
10532907483423,tntpr12165wdblkl,DELETE,TNTPR12165WDBLKL
10532907417887,tntpr12165stdblkl,DELETE,TNTPR12165STDBLKL
10532907254047,tntpr1016512,DELETE,TNTPR1016512
10532907352351,tntpr1216514,DELETE,TNTPR1216514
