itemid,family,fitment_rows,fitment_json,fits_equipment_models,model_ref_count,gap_reason
CR03712-00100,roller,10,yes,yes,10,
CR03912-00100,roller,5,yes,yes,5,
CR05612-04080,roller,2,yes,yes,2,
CR1180-9221,roller,10,yes,yes,10,
CR1181-00430,roller,3,yes,yes,3,
CR146-6064,roller,3,yes,yes,3,
CR193-7070,roller,1,yes,yes,1,
CR20T-30-00050,roller,2,yes,yes,2,
CR20T-30-00060,roller,2,yes,yes,2,
CR265-7675,roller,7,yes,yes,7,
CR266-8794,roller,8,yes,yes,8,
CR277-8576,roller,8,yes,yes,8,
CR4392416,roller,14,yes,yes,13,
CR4718355,roller,11,yes,yes,11,
CR7012275,roller,1,yes,yes,1,
CR7020867,roller,8,yes,yes,8,
CR7257873,roller,5,yes,yes,5,
CR9237948,roller,8,yes,yes,8,
CR9239529,roller,12,yes,yes,12,
CRKM2794,roller,0,yes,no,0,no_fitment_rows
CRLK327,roller,4,yes,yes,4,
CRPS64D01001F1,roller,2,yes,yes,2,
CRPV64D00001F1,roller,8,yes,yes,8,
CRPW64D01017F2,roller,3,yes,yes,3,
CRRC411-21903,roller,14,yes,yes,14,
CRRD411-22900,roller,26,yes,yes,25,
CRRD809-21900,roller,2,yes,yes,2,
CRT006M027,roller,3,yes,yes,3,
CRYT64D01001F1,roller,14,yes,yes,10,
FI03714-00000,idler,13,yes,yes,13,
FI04214-01200,idler,1,yes,yes,1,
FI04614-90010,idler,5,yes,yes,5,
FI05614-00600,idler,4,yes,yes,4,
FI05614-03100,idler,3,yes,yes,3,
FI06814-00019,idler,2,yes,yes,2,
FI08801-40000,idler,8,yes,yes,8,
FI08811-40300,idler,15,yes,yes,15,
FI1048166,idler,0,yes,no,0,no_fitment_rows
FI172-2100,idler,2,yes,yes,2,
FI1R8938,idler,0,yes,no,0,no_fitment_rows
FI226-4049,idler,2,yes,yes,2,
FI240-6304,idler,1,yes,yes,1,
FI241-5973,idler,6,yes,yes,6,
FI267-4813,idler,6,yes,yes,6,
FI267-4829,idler,5,yes,yes,5,
FI2674829,idler,6,yes,yes,6,
FI271005,idler,15,yes,yes,15,
FI304-1878,idler,19,yes,yes,19,
FI348-9647,idler,14,yes,yes,14,
FI420-9803,idler,4,yes,yes,4,
FI6698048,idler,3,yes,yes,3,
FI6732902,idler,16,yes,yes,16,
FI6815125,idler,6,yes,yes,6,
FI7109408,idler,4,yes,yes,4,
FI7199074,idler,15,yes,yes,14,
FI7202053,idler,3,yes,yes,3,
