Handle,Command,Top Row,Variant SKU,Metafield: custom.fitment_json [json]
tnt1504867hdv,MERGE,TRUE,TNT1504867HDV,"{""verified"":true,""machine_type"":"""",""track_size"":""150x48Bx67"",""fits"":[{""make"":""Toro"",""model"":""DINGO TX1000"",""machine_type"":"""",""track_size"":""150x48Bx67"",""model_key"":""toro-dingo-tx1000""}],""display_text"":""Fits select Toro and other machines using 150x48Bx67 rubber tracks.""}"
tnt160876328xd,MERGE,TRUE,TNT160876328XD,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""160x87.63x28"",""fits"":[{""make"":""Toro"",""model"":""DINGO TX413"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx413""},{""make"":""Toro"",""model"":""DINGO TX425"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx425""},{""make"":""Toro"",""model"":""DINGO TX427"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx427""},{""make"":""Toro"",""model"":""DINGO TX520"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx520""},{""make"":""Toro"",""model"":""DINGO TX525"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx525""},{""make"":""Toro"",""model"":""TX420"",""machine_type"":""Mini Track Loader"",""track_size"":""160x87.63x28"",""model_key"":""toro-tx420""}],""display_text"":""Fits select Toro and other mini track loader using 160x87.63x28 rubber tracks.""}"
tnt160876328xdnm,MERGE,TRUE,TNT160876328XDNM,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""160x87.63x28"",""fits"":[{""make"":""Toro"",""model"":""DINGO TX413"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx413""},{""make"":""Toro"",""model"":""DINGO TX425"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx425""},{""make"":""Toro"",""model"":""DINGO TX427"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx427""},{""make"":""Toro"",""model"":""DINGO TX520"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx520""},{""make"":""Toro"",""model"":""DINGO TX525"",""machine_type"":"""",""track_size"":""160x87.63x28"",""model_key"":""toro-dingo-tx525""},{""make"":""Toro"",""model"":""TX420"",""machine_type"":""Mini Track Loader"",""track_size"":""160x87.63x28"",""model_key"":""toro-tx420""}],""display_text"":""Fits select Toro and other mini track loader using 160x87.63x28 rubber tracks.""}"
tnt160876337xd,MERGE,TRUE,TNT160876337XD,"{""verified"":true,""machine_type"":"""",""track_size"":""160x87.63x37"",""fits"":[{""make"":""Toro"",""model"":""DINGO TX1000"",""machine_type"":"""",""track_size"":""160x87.63x37"",""model_key"":""toro-dingo-tx1000""}],""display_text"":""Fits select Toro and other machines using 160x87.63x37 rubber tracks.""}"
tnt160876337xdnm,MERGE,TRUE,TNT160876337XDNM,"{""verified"":true,""machine_type"":"""",""track_size"":""160x87.63x37"",""fits"":[{""make"":""Toro"",""model"":""DINGO TX1000"",""machine_type"":"""",""track_size"":""160x87.63x37"",""model_key"":""toro-dingo-tx1000""}],""display_text"":""Fits select Toro and other machines using 160x87.63x37 rubber tracks.""}"
tnt1806039hd,MERGE,TRUE,TNT1806039HD,"{""verified"":true,""machine_type"":""Mini Excavator"",""track_size"":""180x60x39"",""fits"":[{""make"":""Canycom"",""model"":""SC30"",""machine_type"":""Mini Excavator"",""track_size"":""180x60x39"",""model_key"":""canycom-sc30""}],""display_text"":""Fits select Canycom and other mini excavator using 180x60x39 rubber tracks.""}"
tnt1807233hd,MERGE,TRUE,TNT1807233HD,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""180x72x33"",""fits"":[{""make"":""Hitachi"",""model"":""EX5"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x33"",""model_key"":""hitachi-ex5""}],""display_text"":""Fits select Hitachi and other mini track loader using 180x72x33 rubber tracks.""}"
tnt1807236hd,MERGE,TRUE,TNT1807236HD,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""180x72x36"",""fits"":[{""make"":""Boxer"",""model"":""118 (Trencher)"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x36"",""model_key"":""boxer-118-trencher""},{""make"":""Boxer"",""model"":""320"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x36"",""model_key"":""boxer-320""},{""make"":""Boxer"",""model"":""322D"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x36"",""model_key"":""boxer-322d""}],""display_text"":""Fits select Boxer and other mini track loader using 180x72x36 rubber tracks.""}"
tnt1807237hdc,MERGE,TRUE,TNT1807237HDC,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""fits"":[{""make"":""Kubota"",""model"":""K008"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""model_key"":""kubota-k008""},{""make"":""Kubota"",""model"":""K008 5"",""machine_type"":"""",""track_size"":""180x72x37"",""model_key"":""kubota-k008-5""},{""make"":""Kubota"",""model"":""K008-2"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""model_key"":""kubota-k008-2""},{""make"":""Kubota"",""model"":""K008-3"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""model_key"":""kubota-k008-3""},{""make"":""Kubota"",""model"":""K008DH"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""model_key"":""kubota-k008dh""},{""make"":""Kubota"",""model"":""KX008"",""machine_type"":""Mini Excavator"",""track_size"":""180x72x37"",""model_key"":""kubota-kx008""},{""make"":""Takeuchi"",""model"":""TB 108"",""machine_type"":"""",""track_size"":""180x72x37"",""model_key"":""takeuchi-tb-108""},{""make"":""Takeuchi"",""model"":""TB07"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x37"",""model_key"":""takeuchi-tb07""},{""make"":""Yanmar"",""model"":""SV08"",""machine_type"":"""",""track_size"":""180x72x37"",""model_key"":""yanmar-sv08""}],""display_text"":""Fits select Kubota, Takeuchi, and Yanmar and other mini track loader using 180x72x37 rubber tracks.""}"
tnt1807239hd,MERGE,TRUE,TNT1807239HD,"{""verified"":true,""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""fits"":[{""make"":""Bobcat"",""model"":""418"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""bobcat-418""},{""make"":""Bobcat"",""model"":""E08"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""bobcat-e08""},{""make"":""Bobcat"",""model"":""E10"",""machine_type"":""Mini Excavator"",""track_size"":""180x72x39"",""model_key"":""bobcat-e10""},{""make"":""Bobcat"",""model"":""MT50"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""bobcat-mt50""},{""make"":""Bobcat"",""model"":""MT52"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""bobcat-mt52""},{""make"":""Bobcat"",""model"":""MT55"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""bobcat-mt55""},{""make"":""Bobcat"",""model"":""X418"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""bobcat-x418""},{""make"":""Ditch Witch"",""model"":""JT2510"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""ditch-witch-jt2510""},{""make"":""Ditch Witch"",""model"":""JT2511"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""ditch-witch-jt2511""},{""make"":""Ditch Witch"",""model"":""JT5"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""ditch-witch-jt5""},{""make"":""Ditch Witch"",""model"":""JT520"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""ditch-witch-jt520""},{""make"":""Ditch Witch"",""model"":""SK500"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""ditch-witch-sk500""},{""make"":""Kubota"",""model"":""KX21"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""kubota-kx21""},{""make"":""Takeuchi"",""model"":""TB008"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""takeuchi-tb008""},{""make"":""Takeuchi"",""model"":""TB08"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""takeuchi-tb08""},{""make"":""Vermeer"",""model"":""S400TX"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""vermeer-s400tx""},{""make"":""Vermeer"",""model"":""S600TX"",""machine_type"":""Mini Track Loader"",""track_size"":""180x72x39"",""model_key"":""vermeer-s600tx""},{""make"":""Yanmar"",""model"":""B10"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""yanmar-b10""},{""make"":""Yanmar"",""model"":""B10R"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""yanmar-b10r""},{""make"":""Yanmar"",""model"":""YB101"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""yanmar-yb101""},{""make"":""Yanmar"",""model"":""YB101UZ"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""yanmar-yb101uz""},{""make"":""Yanmar"",""model"":""YB101VL"",""machine_type"":"""",""track_size"":""180x72x39"",""model_key"":""yanmar-yb101vl""}],""display_text"":""Fits select Bobcat, Ditch Witch, Kubota, and 3 other brands and other mini track loader using 180x72x39 rubber tracks.""}"
