Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
tnt1504867hdv,MERGE,TRUE,TNT1504867HDV,model.toro-dingo-tx1000
tnt160876328xd,MERGE,TRUE,TNT160876328XD,"model.toro-dingo-tx413, model.toro-dingo-tx425, model.toro-dingo-tx427, model.toro-dingo-tx520, model.toro-dingo-tx525, model.toro-tx420"
tnt160876328xdnm,MERGE,TRUE,TNT160876328XDNM,"model.toro-dingo-tx413, model.toro-dingo-tx425, model.toro-dingo-tx427, model.toro-dingo-tx520, model.toro-dingo-tx525, model.toro-tx420"
tnt160876337xd,MERGE,TRUE,TNT160876337XD,model.toro-dingo-tx1000
tnt160876337xdnm,MERGE,TRUE,TNT160876337XDNM,model.toro-dingo-tx1000
tnt1807233hd,MERGE,TRUE,TNT1807233HD,model.hitachi-ex5
tnt1807236hd,MERGE,TRUE,TNT1807236HD,"model.boxer-118-trencher, model.boxer-320, model.boxer-322d"
tnt1807237hdc,MERGE,TRUE,TNT1807237HDC,"model.kubota-k-008, model.kubota-k-008-2, model.kubota-k-008-3, model.kubota-k-008dh, model.kubota-k008-5, model.kubota-kx008, model.takeuchi-tb-108, model.takeuchi-tb07, model.yanmar-sv08"
tnt1807239hd,MERGE,TRUE,TNT1807239HD,"model.bobcat-418, model.bobcat-e08, model.bobcat-e10, model.bobcat-mt50, model.bobcat-mt52, model.bobcat-mt55, model.bobcat-x418, model.ditch-witch-jt2510, model.ditch-witch-jt2511, model.ditch-witch-jt5, model.ditch-witch-jt520, model.ditch-witch-sk500, model.kubota-kx21, model.takeuchi-tb008, model.takeuchi-tb08, model.vermeer-s400tx, model.vermeer-s600tx, model.yanmar-b10, model.yanmar-b10r, model.yanmar-yb101, model.yanmar-yb101uz, model.yanmar-yb101vl"
tnt1807239hdc,MERGE,TRUE,TNT1807239HDC,"model.bobcat-418, model.bobcat-e08, model.bobcat-e10, model.bobcat-mt50, model.bobcat-mt52, model.bobcat-mt55, model.bobcat-x418, model.ditch-witch-jt2510, model.ditch-witch-jt2511, model.ditch-witch-jt5, model.ditch-witch-jt520, model.ditch-witch-sk500, model.kubota-kx21, model.takeuchi-tb008, model.takeuchi-tb08, model.vermeer-s400tx, model.vermeer-s600tx, model.yanmar-b10, model.yanmar-b10r, model.yanmar-yb101, model.yanmar-yb101uz, model.yanmar-yb101vl"
tnt1807240hd,MERGE,TRUE,TNT1807240HD,"model.ditch-witch-sk600, model.takeuchi-tb210r"
tnt1807242hdc,MERGE,TRUE,TNT1807242HDC,model.ditch-witch-sk650
tnt18072k44hd,MERGE,TRUE,TNT18072K44HD,"model.ditch-witch-sk1050, model.ditch-witch-sk750, model.ditch-witch-sk755, model.ditch-witch-sk800, model.ditch-witch-sk850, model.ditch-witch-sk900"
tnt18072k45hd,MERGE,TRUE,TNT18072K45HD,"model.bobcat-mt100, model.bobcat-mt85, model.new-holland-c314, model.vermeer-ctx100, model.vermeer-ctx160, model.vermeer-s725tx, model.vermeer-s800tx, model.vermeer-s925tx"
tnt2304860hd,MERGE,TRUE,TNT2304860HD,"model.case-17rtnmaxi, model.kubota-kx041"
tnt2304862hd,MERGE,TRUE,TNT2304862HD,"model.case-15, model.case-15maxi, model.case-16, model.case-16maxi, model.case-16rtn, model.case-17rtnmaxi, model.case-cx15, model.case-cx16, model.cat-301-5, model.cat-mm15t, model.hitachi-ex12, model.hitachi-ex12-1, model.hitachi-ex12-2, model.hitachi-ex15, model.hitachi-ex15-1, model.hitachi-ex15-2, model.hitachi-ex15u, model.hitachi-ex16, model.hitachi-sh15-2, model.hitachi-zx14-3, model.jcb-801, model.jcb-801-4, model.jcb-801-5, model.jcb-801-6, model.jcb-8018, model.jcb-801r, model.kobelco-115, model.kobelco-sk013, model.kobelco-sk013-1, model.kobelco-sk014-1, model.kobelco-sk015, model.kobelco-sk015-1, model.komatsu-pc05, model.komatsu-pc05-7, model.komatsu-pc05avancer, model.komatsu-pc07, model.komatsu-pc07-1, model.komatsu-pc07-2, model.komatsu-pc07-6, model.komatsu-pc07-7, model.komatsu-pc07avancer, model.komatsu-pc07r, model.komatsu-pc12r-8, model.komatsu-pc12rutility, model.komatsu-pc14r-2, model.komatsu-pc15r, model.komatsu-pc15r-8, model.komatsu-pc15rhs, model.komatsu-pc16r-2, model.takeuchi-tb15"
tnt2304864hd,MERGE,TRUE,TNT2304864HD,"model.cat-mm15, model.yanmar-b15"
tnt2304866hd,MERGE,TRUE,TNT2304866HD,"model.bobcat-320, model.jcb-801-6, model.jcb-8018super, model.terex-tc20"
tnt2304868hd,MERGE,TRUE,TNT2304868HD,model.takeuchi-tb216
tnt2304870hd,MERGE,TRUE,TNT2304870HD,"model.case-cx14, model.case-cx15stc, model.case-cx15str, model.case-cx16b, model.case-cx17c, model.case-cx18b, model.cat-301-7-cr, model.cat-301-8, model.hitachi-zx17u, model.hitachi-zx17u-5, model.hyundai-robex-17z-9a, model.john-deere-17d, model.john-deere-17g, model.kobelco-sk17, model.komatsu-pc18mr-2, model.komatsu-pc18mr-3, model.kubota-kx018-4, model.kubota-kx41-3, model.kubota-u-15, model.kubota-u-15-3, model.kubota-u17, model.kubota-u17-3, model.new-holland-e16, model.new-holland-e17, model.new-holland-e17c, model.new-holland-e18, model.new-holland-e18sr, model.new-holland-eh-15b, model.new-holland-eh16, model.new-holland-eh18, model.sany-sy16c, model.takeuchi-tb15f, model.takeuchi-tb15fr"
tnt2304872hd,MERGE,TRUE,TNT2304872HD,"model.bobcat-e20, model.cat-301-7d, model.volvo-ec-20b-xtv, model.volvo-ec20b, model.volvo-ec20t, model.volvo-ec20tb, model.volvo-ec20v, model.volvo-ec20vb, model.volvo-ec20xt, model.volvo-ec20xtv"
tnt2307239hdc,MERGE,TRUE,TNT2307239HDC,"model.bobcat-mt55, model.case-tf300, model.case-tf300rt, model.ditch-witch-ht25, model.ditch-witch-ht25k, model.ditch-witch-jt1200, model.ditch-witch-jt2510, model.ditch-witch-jt2511, model.ditch-witch-sk500, model.vermeer-s400tx, model.vermeer-s600tx, model.yanmar-yb101vl"
tnt2307242hd,MERGE,TRUE,TNT2307242HD,"model.ditch-witch-sk650, model.hitachi-ue15, model.hitachi-ue15sr, model.komatsu-pc05"
tnt2307243hd,MERGE,TRUE,TNT2307243HD,"model.bobcat-x119, model.bobcat-x120, model.bobcat-x122, model.cat-mm15, model.hitachi-ue15, model.hitachi-ue15sr, model.john-deere-15, model.komatsu-pc09fr-1, model.kubota-scl1000, model.takeuchi-tb105, model.takeuchi-tb106, model.takeuchi-tb12, model.takeuchi-tb120, model.takeuchi-tb120r, model.takeuchi-tb14, model.takeuchi-tb15, model.takeuchi-tb16, model.takeuchi-tb650, model.takeuchi-tb650s, model.volvo-ec14, model.volvo-ec15bxr, model.volvo-ec15r, model.volvo-ec15rb, model.yanmar-b10, model.yanmar-b12, model.yanmar-b12-1, model.yanmar-b12-2, model.yanmar-b12-3, model.yanmar-b12-3pr, model.yanmar-b12pr, model.yanmar-b14, model.yanmar-b14-1, model.yanmar-b15, model.yanmar-b17, model.yanmar-b17-1, model.yanmar-b17pr, model.yanmar-yb10, model.yanmar-yb10-2, model.yanmar-yb121, model.yanmar-yb151, model.yanmar-ybt650"
tnt23072k44hd,MERGE,TRUE,TNT23072K44HD,"model.ditch-witch-sk1050, model.ditch-witch-sk750, model.ditch-witch-sk755, model.ditch-witch-sk800, model.ditch-witch-sk850, model.ditch-witch-sk900"
tnt23072k45hd,MERGE,TRUE,TNT23072K45HD,"model.bobcat-mt100, model.bobcat-mt85, model.new-holland-c314, model.vermeer-ctx100, model.vermeer-ctx160, model.vermeer-s725tx, model.vermeer-s800tx, model.vermeer-s925tx"
tnt240876328xd,MERGE,TRUE,TNT240876328XD,model.toro-dingo-tx427w
tnt240876328xdnm,MERGE,TRUE,TNT240876328XDNM,model.toro-dingo-tx427w
tnt240876337xd,MERGE,TRUE,TNT240876337XD,model.toro-dingo-tx1000w
tnt240876337xdnm,MERGE,TRUE,TNT240876337XDNM,model.toro-dingo-tx1000w
tnt2504867hd,MERGE,TRUE,TNT2504867HD,model.toro-dingo-tx1000w
tnt2507239hd,MERGE,TRUE,TNT2507239HD,"model.bobcat-e08, model.bobcat-e10, model.bobcat-mt55, model.case-tf300, model.case-tf300rt"
tnt2507252hd,MERGE,TRUE,TNT2507252HD,"model.bobcat-t110, model.ditch-witch-sk1550, model.gehl-rt105"
tnt2507252hdc,MERGE,TRUE,TNT2507252HDC,"model.bobcat-t110, model.ditch-witch-sk1550, model.gehl-rt105"
