Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,Top Row,Image Src,Image Position,Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Weight,Variant Weight Unit,Variant Inventory Policy,Variant Inventory Tracker,Metafield: custom.tracktech_data_api [single_line_text_field],Metafield: custom.track_size [single_line_text_field],Metafield: custom.tread_pattern [single_line_text_field],Metafield: custom.mpn [single_line_text_field],Metafield: custom.width_mm [number_integer],Metafield: custom.pitch_mm [number_decimal],Metafield: custom.links [number_integer]
639-1830,MERGE,"18"" Camso Extreme Duty Camso HXD Pattern Rubber Track (457x101.6x51)","<p>Heavy-duty Camso HXD rubber track sized <strong>457x101.6x51</strong> (457&nbsp;mm width &times; 101.6&nbsp;mm pitch &times; 51 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> Camso HXD</li><li><strong>Weight:</strong> 302.94 lbs per track</li><li><strong>SKU:</strong> 639-1830</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:639-1830, rubber-tracks, nav:rubber-tracks, size:457x101.6x51",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/457x101.6x51-multi-bar-01.webp,,639-1830,1747.00,,1747.00,302.94,lb,continue,,639-1830,457x101.6x51,Camso HXD,639-1830,457,101.6,51
bs1807239cxd,MERGE,"7"" Bridgestone Extreme Duty C Pattern Rubber Track (180x72x39)","<p>Heavy-duty C-Block rubber track sized <strong>180x72x39</strong> (180&nbsp;mm width &times; 72.0&nbsp;mm pitch &times; 39 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> C-Block</li><li><strong>SKU:</strong> BS1807239CXD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS1807239CXD, rubber-tracks, nav:rubber-tracks, size:180x72x39",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/180x72x39-directional-01.webp,,BS1807239CXD,380.00,,,,,continue,,BS1807239CXD,180x72x39,C-Block,BS1807239CXD,180,72.0,39
bs1807245cxd,MERGE,"6"" Bridgestone Extreme Duty C Pattern Rubber Track (180X72KX45)","<p>Heavy-duty C-Block rubber track sized <strong>180X72KX45</strong> (180&nbsp;mm width &times; 72.0&nbsp;mm pitch &times; 45 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> C-Block</li><li><strong>SKU:</strong> BS1807245CXD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS1807245CXD, rubber-tracks, nav:rubber-tracks, size:180X72KX45",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/180x72x39-directional-01.webp,,BS1807245CXD,421.00,,,,,continue,,BS1807245CXD,180X72KX45,C-Block,BS1807245CXD,180,72.0,45
bs2304870xd,MERGE,"9"" Bridgestone Extreme Duty MX Pattern Rubber Track (230x48x70)","<p>Heavy-duty MX rubber track sized <strong>230x48x70</strong> (230&nbsp;mm width &times; 48.0&nbsp;mm pitch &times; 70 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> MX</li><li><strong>SKU:</strong> BS2304870XD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS2304870XD, rubber-tracks, nav:rubber-tracks, size:230x48x70",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x48x70-mx-01.webp,1,BS2304870XD,575.00,,,,,continue,,BS2304870XD,230x48x70,MX,BS2304870XD,230,48.0,70
bs2304870xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x48x70-mx-03.webp,2,,,,,,,,,,,,,,,
bs2304870xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x48x70-mx-04.webp,3,,,,,,,,,,,,,,,
bs2304870xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-mx-01.webp,4,,,,,,,,,,,,,,,
bs2304870xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-mx-03.webp,5,,,,,,,,,,,,,,,
bs2304870xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x48x70-mx-04.webp,6,,,,,,,,,,,,,,,
bs2309636xd,MERGE,"9"" Bridgestone Extreme Duty MX Pattern Rubber Track (230x96x36)","<p>Heavy-duty MX rubber track sized <strong>230x96x36</strong> (230&nbsp;mm width &times; 96.0&nbsp;mm pitch &times; 36 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> MX</li><li><strong>SKU:</strong> BS2309636XD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS2309636XD, rubber-tracks, nav:rubber-tracks, size:230x96x36",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x96x36-mx-01.webp,1,BS2309636XD,425.00,,,,,continue,,BS2309636XD,230x96x36,MX,BS2309636XD,230,96.0,36
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x96x36-mx-02.webp,2,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x96x36-mx-03.webp,3,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/230x96x36-mx-04.webp,4,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x36-mx-01.webp,5,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x36-mx-02.webp,6,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x36-mx-03.webp,7,,,,,,,,,,,,,,,
bs2309636xd,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x36-mx-04.webp,8,,,,,,,,,,,,,,,
bs2507239cxd,MERGE,"10"" Bridgestone Extreme Duty C Pattern Rubber Track (250x72x39)","<p>Heavy-duty C-Block rubber track sized <strong>250x72x39</strong> (250&nbsp;mm width &times; 72.0&nbsp;mm pitch &times; 39 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> C-Block</li><li><strong>SKU:</strong> BS2507239CXD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS2507239CXD, rubber-tracks, nav:rubber-tracks, size:250x72x39",Active,TRUE,TRUE,,,BS2507239CXD,438.00,,,,,continue,,BS2507239CXD,250x72x39,C-Block,BS2507239CXD,250,72.0,39
bs2507245cxd,MERGE,"10"" Bridgestone Extreme Duty C Pattern Rubber Track (250x72x45)","<p>Heavy-duty C-Block rubber track sized <strong>250x72x45</strong> (250&nbsp;mm width &times; 72.0&nbsp;mm pitch &times; 45 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> C-Block</li><li><strong>SKU:</strong> BS2507245CXD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS2507245CXD, rubber-tracks, nav:rubber-tracks, size:250x72x45",Active,TRUE,TRUE,,,BS2507245CXD,499.00,,499.00,,,continue,,BS2507245CXD,250x72x45,C-Block,BS2507245CXD,250,72.0,45
bs30052586rsxd,MERGE,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Nx86)","<p>Heavy-duty MX rubber track sized <strong>300x52.5Nx86</strong> (300&nbsp;mm width &times; 52.5&nbsp;mm pitch &times; 86 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> MX</li><li><strong>SKU:</strong> BS30052586RSXD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS30052586RSXD, rubber-tracks, nav:rubber-tracks, size:300x52.5Nx86",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx86-directional-01.webp,,BS30052586RSXD,1051.00,,,,,continue,,BS30052586RSXD,300x52.5Nx86,MX,BS30052586RSXD,300,52.5,86
bs300525n80xd,MERGE,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Nx80)","<p>Heavy-duty MX rubber track sized <strong>300x52.5Nx80</strong> (300&nbsp;mm width &times; 52.5&nbsp;mm pitch &times; 80 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> MX</li><li><strong>SKU:</strong> BS300525N80XD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS300525N80XD, rubber-tracks, nav:rubber-tracks, size:300x52.5Nx80",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx80-directional-01.webp,,BS300525N80XD,992.00,,,,,continue,,BS300525N80XD,300x52.5Nx80,MX,BS300525N80XD,300,52.5,80
bs300525w78xd,MERGE,"12"" Bridgestone Extreme Duty MX Pattern Rubber Track (300x52.5Wx78)","<p>Heavy-duty MX rubber track sized <strong>300x52.5Wx78</strong> (300&nbsp;mm width &times; 52.5&nbsp;mm pitch &times; 78 links). Continuous steel cord construction, forged steel links, and an abrasion-resistant rubber compound deliver long service life with guaranteed fitment.</p><p>24-month manufacturer warranty. Free LTL freight to the contiguous US. Same-day shipping on orders placed before 12&nbsp;PM&nbsp;CT.</p><ul><li><strong>Pattern:</strong> MX</li><li><strong>SKU:</strong> BS300525W78XD</li></ul>",Heavy Iron Supply Co,Rubber Tracks,"itemid-ssot, itemid:BS300525W78XD, rubber-tracks, nav:rubber-tracks, size:300x52.5Wx78",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx78-block-01.webp,,BS300525W78XD,968.00,,,,,continue,,BS300525W78XD,300x52.5Wx78,MX,BS300525W78XD,300,52.5,78
