Handle,Command,Title,Body HTML,Vendor,Type,Tags,Status,Published,Top Row,Image Src,Image Position,Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Weight,Variant Weight Unit,Variant Inventory Policy,Variant Inventory Tracker,Metafield: custom.tracktech_data_api [json],Metafield: custom.track_size [single_line_text_field],Metafield: custom.tread_pattern [single_line_text_field],Metafield: custom.mpn [single_line_text_field],Metafield: custom.part_type [single_line_text_field],Metafield: custom.width_mm [number_integer],Metafield: custom.pitch_mm [number_decimal],Metafield: custom.links [number_integer],Metafield: custom.warranty_months [number_integer],Metafield: custom.fitment_json [json],Variant Metafield: custom.warehouse_availability [json]
cr03712-00100,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR03712-00100, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03712-00100-hero-01.webp,1,CR03712-00100,97.75,110.50,85.00,7.15,lb,continue,,"{""itemid"":""CR03712-00100"",""product_name"":""Heavy Duty Carrier Roller"",""price"":85.0,""spec_mpn"":""CR03712-00100""}",,,CR03712-00100,Carrier Roller,,,,,,"{""Columbus OH"":""4+""}"
cr03712-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03712-00100-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
cr03712-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03712-00100-gallery-03.webp,3,,,,,,,,,,,,,,,,,,,
cr03712-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03712-00100-gallery-04.webp,4,,,,,,,,,,,,,,,,,,,
cr03912-00100,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR03912-00100, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03912-00100-hero-01.webp,1,CR03912-00100,124.20,140.40,108.00,8,lb,continue,,"{""itemid"":""CR03912-00100"",""product_name"":""Heavy Duty Carrier Roller"",""price"":108.0,""spec_mpn"":""CR03912-00100""}",,,CR03912-00100,Carrier Roller,,,,,,
cr03912-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03912-00100-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
cr03912-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03912-00100-gallery-03.webp,3,,,,,,,,,,,,,,,,,,,
cr03912-00100,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr03912-00100-gallery-04.webp,4,,,,,,,,,,,,,,,,,,,
cr05612-04080,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR05612-04080, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr05612-04080-hero-01.webp,1,CR05612-04080,129.95,146.90,113.00,15,lb,continue,,"{""itemid"":""CR05612-04080"",""product_name"":""Heavy Duty Carrier Roller"",""price"":113.0,""spec_mpn"":""CR05612-04080""}",,,CR05612-04080,Carrier Roller,,,,,,"{""Columbus OH"":""4+""}"
cr05612-04080,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr05612-04080-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
cr05612-04080,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr05612-04080-gallery-03.webp,3,,,,,,,,,,,,,,,,,,,
cr05612-04080,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr05612-04080-gallery-04.webp,4,,,,,,,,,,,,,,,,,,,
cr1180-9221,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR1180-9221, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1180-9221-hero-01.webp,1,CR1180-9221,124.20,140.40,108.00,6,lb,continue,,"{""itemid"":""CR1180-9221"",""product_name"":""Heavy Duty Carrier Roller"",""price"":108.0,""spec_mpn"":""CR1180-9221""}",,,CR1180-9221,Top Roller,,,,,,"{""Columbus OH"":""1""}"
cr1180-9221,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1180-9221-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
cr1180-9221,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1180-9221-gallery-03.webp,3,,,,,,,,,,,,,,,,,,,
cr1180-9221,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1180-9221-gallery-04.webp,4,,,,,,,,,,,,,,,,,,,
cr1181-00430,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR1181-00430, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1181-00430-hero-01.webp,1,CR1181-00430,129.95,146.90,113.00,11,lb,continue,,"{""itemid"":""CR1181-00430"",""product_name"":""Heavy Duty Carrier Roller"",""price"":113.0,""spec_mpn"":""CR1181-00430""}",,,CR1181-00430,Top Roller,,,,,,
cr1181-00430,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1181-00430-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
cr1181-00430,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1181-00430-gallery-03.webp,3,,,,,,,,,,,,,,,,,,,
cr1181-00430,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr1181-00430-gallery-04.webp,4,,,,,,,,,,,,,,,,,,,
cr146-6064,MERGE,Heavy Duty Carrier Roller,,TNT,Undercarriage Components,"itemid-ssot, itemid:CR146-6064, undercarriage-parts, uc:roller",Active,TRUE,TRUE,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr146-6064-hero-01.webp,1,CR146-6064,97.75,110.50,85.00,8.58,lb,continue,,"{""itemid"":""CR146-6064"",""product_name"":""Heavy Duty Carrier Roller"",""price"":85.0,""spec_mpn"":""CR146-6064""}",,,CR146-6064,Top Roller,,,,,,"{""Columbus OH"":""4+""}"
cr146-6064,,,,,,,,,,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/undercarriage/rollers/cr146-6064-alt-02.webp,2,,,,,,,,,,,,,,,,,,,
