candidate_id,machine_id,shopify_handle,brand,model,field_name,current_value,proposed_value,source_type,source_url,source_priority,confidence,evidence_text,status,conflict_reason
enr_275c41a0995c26811f1b6c94,mdl_john_deere_323e,john-deere-323e,John Deere,323E,machine_type,Skid Steer,Compact Track Loader,oem,https://www.deere.com/en/loaders/compact-track-loaders/323e/,1,0.980,OEM product page lists 323E as Compact Track Loader,conflict,Protected machine_type from navigation_source=track_finder_v1
enr_78124384601d59adeca6fe68,mdl_jcb_3ts_8t,jcb-3ts-8t,JCB,3TS-8T,canonical_model_group,JCB 3TS-8T,JCB 3TS 8T,track_finder,/pages/equipment-model/jcb-3ts-8t,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_80844bc61310c395d21f8685,mdl_kubota_svl75_2,kubota-svl75-2,Kubota,SVL75-2,canonical_model_group,Kubota SVL75,Kubota SVL75-2,track_finder,/pages/equipment-model/kubota-svl75-2,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_c2cd16c47dc6dab222bcc8f0,mdl_kubota_svl75_3,kubota-svl75-3,Kubota,SVL75-3,canonical_model_group,Kubota SVL75,Kubota SVL75-3,track_finder,/pages/equipment-model/kubota-svl75-3,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_ec4d1944e348816b2c4f2852,mdl_kubota_svl75c,kubota-svl75c,Kubota,SVL75C,canonical_model_group,Kubota SVL75,Kubota SVL75C,track_finder,/pages/equipment-model/kubota-svl75c,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_72df5d8cf0fd14ac73d3d45f,mdl_kubota_svl90_2,kubota-svl90-2,Kubota,SVL90-2,canonical_model_group,Kubota SVL90,Kubota SVL90-2,track_finder,/pages/equipment-model/kubota-svl90-2,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_5995164ee4763adfa81e0b36,mdl_kubota_svl97_2,kubota-svl97-2,Kubota,SVL97-2,canonical_model_group,Kubota SVL97,Kubota SVL97-2,track_finder,/pages/equipment-model/kubota-svl97-2,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_a086538fcd37846379d8140e,mdl_kubota_svl97_3,kubota-svl97-3,Kubota,SVL97-3,canonical_model_group,Kubota SVL97,Kubota SVL97-3,track_finder,/pages/equipment-model/kubota-svl97-3,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_a0de8f6dda6e20de9ce3eb95,mdl_komatsu_ck30_1,komatsu-ck30-1,Komatsu,CK30-1,canonical_model_group,Komatsu CK30-1,Komatsu CK301,track_finder,/pages/equipment-model/komatsu-ck30-1,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_87587ea62f2d1ca24827cadd,mdl_komatsu_ck35_1,komatsu-ck35-1,Komatsu,CK35-1,canonical_model_group,Komatsu CK35-1,Komatsu CK351,track_finder,/pages/equipment-model/komatsu-ck35-1,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_c1c7678f1bb76fe360a8f055,mdl_mustang_1750_rt,mustang-1750-rt,Mustang,1750 RT,canonical_model_group,Mustang 1750 RT,Mustang 1750RT,track_finder,/pages/equipment-model/mustang-1750-rt,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
enr_42a21b2ab4a7613514dbacd6,mdl_manitou_mx65,manitou-mx65,Manitou,MX65,canonical_model_group,Manitou MX65,Manitou MX 65,track_finder,/pages/equipment-model/manitou-mx65,4,0.880,Track Finder model family label,conflict,Protected canonical_model_group from navigation_source=track_finder_v1
