shopify_handle,machine_id,brand,model,publish_status,hero,primary_track_size,track_products,uc_products,approved_track_sizes,blockers
airman-ax12,mdl_airman_ax12,Airman,AX12,ready,yes,230x96x31,1,0,1,
airman-ax12-2,mdl_airman_ax12_2,Airman,AX12-2,ready,yes,230x96x31,1,0,1,
airman-ax15-2,mdl_airman_ax15_2,Airman,AX15-2,ready,yes,230x96x31,1,0,1,
airman-ax15u,mdl_airman_ax15u,Airman,AX15U,ready,yes,230x96x31,1,0,1,
airman-ax17u,mdl_airman_ax17u,Airman,AX17U,ready,yes,230x48x70,2,0,1,
airman-ax30u-4,mdl_airman_ax30u_4,Airman,AX30U-4,ready,yes,300x52.5x86,2,0,1,
airman-ax35-1,mdl_airman_ax351,Airman,AX351,ready,yes,300x52.5Nx84,1,0,2,
airman-ax35-2,mdl_airman_ax352,Airman,AX352,ready,yes,300x52.5Nx84,1,0,2,
airman-ax35u,mdl_airman_ax35u,Airman,AX35U,ready,yes,300x52.5x86,2,0,1,
airman-ax35u-4,mdl_airman_ax35u_4,Airman,AX35U-4,ready,yes,300x52.5x86,2,0,1,
airman-ax36u,mdl_airman_ax36u,Airman,AX36U,ready,yes,300x52.5x86,2,0,1,
airman-ax36ucgl,mdl_airman_ax36ucgl,Airman,AX36UCGL,ready,yes,300x52.5x86,2,0,1,
airman-axc12,mdl_airman_axc12,Airman,AXC12,ready,yes,230x96x31,1,0,1,
airman-axc15,mdl_airman_axc15,Airman,AXC15,ready,yes,230x96x31,1,0,1,
asv-posi-trachd4520,mdl_asv_posi_trac_hd4520,ASV,POSI-TRAC HD4520,blocked,yes,,0,0,3,missing_primary_track_size_v2;no_products
asv-posi-trac2800,mdl_asv_posi_trac2800,ASV,POSI-TRAC2800,ready,yes,457x101.6x56,1,0,1,
asv-posi-trac2810,mdl_asv_posi_trac2810,ASV,POSI-TRAC2810,ready,yes,457x101.6x56,1,0,1,
asv-posi-trac4800,mdl_asv_posi_trac4800,ASV,POSI-TRAC4800,ready,yes,457x101.6x56,1,1,1,
asv-posi-trac4810,mdl_asv_posi_trac4810,ASV,POSI-TRAC4810,ready,yes,457x101.6x56,1,1,1,
asv-posi-trachd4500,mdl_asv_posi_trachd4500,ASV,POSI-TRACHD4500,ready,yes,457x101.6x56,1,1,1,
asv-pt-50,mdl_asv_pt_50,ASV,PT-50,ready,no,381x100.5x42,1,2,1,
asv-pt-60,mdl_asv_pt_60,ASV,PT-60,ready,no,381x100.5x42,1,2,1,
asv-pt-80,mdl_asv_pt_80,ASV,PT-80,ready,yes,457x101.6x51,2,3,1,
asv-pt-100,mdl_asv_pt100,ASV,PT100,ready,yes,457x101.6x51,2,0,1,
asv-rc-50,mdl_asv_rc_50,ASV,RC-50,ready,no,381x100.5x42,1,2,1,
asv-rc-60,mdl_asv_rc_60,ASV,RC-60,ready,no,381x100.5x42,1,2,1,
asv-rc100,mdl_asv_rc100,ASV,RC100,ready,yes,457x101.6x51,2,0,1,
asv-rc85,mdl_asv_rc85,ASV,RC85,ready,yes,457x101.6x51,2,0,1,
asv-rcv,mdl_asv_rcv,ASV,RCV,ready,yes,457x101.6x51,2,0,1,
asv-rcv-85,mdl_asv_rcv85,ASV,RCV85,ready,yes,457x101.6x51,2,0,1,
asv-rt-120f,mdl_asv_rt_120f,ASV,RT-120F,ready,yes,457x101.6x51,2,0,1,
asv-rt-135f,mdl_asv_rt_135f,ASV,RT-135F,ready,yes,457x101.6x51,2,0,1,
asv-rt25,mdl_asv_rt_25,ASV,RT-25,blocked,yes,,0,0,3,missing_primary_track_size_v2;no_products
asv-rt30,mdl_asv_rt_30,ASV,RT-30,blocked,yes,,0,0,3,missing_primary_track_size_v2;no_products
asv-rt40,mdl_asv_rt_40,ASV,RT-40,blocked,yes,,0,0,3,missing_primary_track_size_v2;no_products
asv-rt-50,mdl_asv_rt_50,ASV,RT-50,partial,yes,,1,0,1,missing_primary_track_size_v2
asv-rt-60,mdl_asv_rt_60,ASV,RT-60,ready,no,381x100.5x42,1,0,1,
asv-rt-65,mdl_asv_rt_65,ASV,RT-65,partial,yes,,1,0,1,missing_primary_track_size_v2
asv-rt-75,mdl_asv_rt_75,ASV,RT-75,partial,yes,,1,0,1,missing_primary_track_size_v2
asv-rt-75hd,mdl_asv_rt_75_hd,ASV,RT-75 HD,ready,yes,457x101.6x51,2,0,1,
asv-sc-50,mdl_asv_sc_50,ASV,SC-50,ready,no,381x100.5x42,1,2,1,
asv-sr-80,mdl_asv_sr80,ASV,SR80,ready,yes,457x101.6x51,2,0,1,
asv-vt-70,mdl_asv_vt_70,ASV,VT-70,partial,no,,1,0,1,missing_primary_track_size_v2
bobcat-220,mdl_bobcat_220,Bobcat,220,blocked,no,230x72Kx45,0,0,1,no_products
bobcat-225,mdl_bobcat_225,Bobcat,225,ready,yes,300x52.5Nx74,1,0,1,
bobcat-231,mdl_bobcat_231,Bobcat,231,ready,yes,300x52.5Nx80,3,0,1,
bobcat-320,mdl_bobcat_320,Bobcat,320,ready,no,230x72Kx45,0,1,1,
bobcat-320d,mdl_bobcat_320d,Bobcat,320D,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
bobcat-320e,mdl_bobcat_320e,Bobcat,320E,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
bobcat-321,mdl_bobcat_321,Bobcat,321,partial,yes,,0,2,17,missing_primary_track_size_v2
bobcat-322,mdl_bobcat_322,Bobcat,322,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
bobcat-323,mdl_bobcat_323,Bobcat,323,partial,yes,,0,2,17,missing_primary_track_size_v2
bobcat-324,mdl_bobcat_324,Bobcat,324,blocked,yes,,0,0,17,missing_primary_track_size_v2;no_products
bobcat-325,mdl_bobcat_325,Bobcat,325,ready,yes,300x52.5Nx74,4,6,1,
bobcat-328,mdl_bobcat_328,Bobcat,328,ready,yes,300x52.5Nx74,1,0,1,
bobcat-329,mdl_bobcat_329,Bobcat,329,ready,yes,300x52.5Nx80,5,5,1,
bobcat-331,mdl_bobcat_331,Bobcat,331,ready,yes,300x52.5Nx80,3,6,1,
