machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_airman_ax12,airman-ax12,Airman,AX12,partial,230x96x31,,1,0,missing_hero
mdl_airman_ax12_2,airman-ax12-2,Airman,AX12-2,partial,230x96x31,,1,0,missing_hero
mdl_airman_ax15_2,airman-ax15-2,Airman,AX15-2,partial,230x96x31,,1,0,missing_hero
mdl_airman_ax15u,airman-ax15u,Airman,AX15U,partial,230x96x31,,1,0,missing_hero
mdl_airman_ax17u,airman-ax17u,Airman,AX17U,partial,230x48x70,,2,0,missing_hero
mdl_airman_ax30u_4,airman-ax30u-4,Airman,AX30U-4,partial,300x52.5x86,,2,0,missing_hero
mdl_airman_ax351,airman-ax35-1,Airman,AX351,partial,300x52.5Nx84,,1,0,missing_hero
mdl_airman_ax352,airman-ax35-2,Airman,AX352,partial,300x52.5Nx84,,1,0,missing_hero
mdl_airman_ax35u,airman-ax35u,Airman,AX35U,partial,300x52.5x86,,2,0,missing_hero
mdl_airman_ax35u_4,airman-ax35u-4,Airman,AX35U-4,partial,300x52.5x86,,2,0,missing_hero
mdl_airman_ax36u,airman-ax36u,Airman,AX36U,partial,300x52.5x86,,2,0,missing_hero
mdl_airman_ax36ucgl,airman-ax36ucgl,Airman,AX36UCGL,partial,300x52.5x86,,2,0,missing_hero
mdl_airman_axc12,airman-axc12,Airman,AXC12,partial,230x96x31,,1,0,missing_hero
mdl_airman_axc15,airman-axc15,Airman,AXC15,partial,230x96x31,,1,0,missing_hero
mdl_asv_posi_trac_hd4520,asv-posi-trachd4520,ASV,POSI-TRAC HD4520,review,,,0,0,missing_hero; missing_primary_track_size; no_products
mdl_asv_posi_trac2800,asv-posi-trac2800,ASV,POSI-TRAC2800,partial,457x101.6x56,,1,0,missing_hero
mdl_asv_posi_trac2810,asv-posi-trac2810,ASV,POSI-TRAC2810,partial,457x101.6x56,,1,0,missing_hero
mdl_asv_posi_trac4800,asv-posi-trac4800,ASV,POSI-TRAC4800,partial,457x101.6x56,,1,1,missing_hero
mdl_asv_posi_trac4810,asv-posi-trac4810,ASV,POSI-TRAC4810,partial,457x101.6x56,,1,1,missing_hero
mdl_asv_posi_trachd4500,asv-posi-trachd4500,ASV,POSI-TRACHD4500,partial,457x101.6x56,,1,1,missing_hero
mdl_asv_pt_50,asv-pt-50,ASV,PT-50,partial,381x100.5x42,,1,2,missing_hero
mdl_asv_pt_60,asv-pt-60,ASV,PT-60,partial,381x100.5x42,,1,2,missing_hero
mdl_asv_pt_80,asv-pt-80,ASV,PT-80,partial,457x101.6x51,,2,3,missing_hero
mdl_asv_pt100,asv-pt-100,ASV,PT100,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rc_50,asv-rc-50,ASV,RC-50,partial,381x100.5x42,,1,2,missing_hero
mdl_asv_rc_60,asv-rc-60,ASV,RC-60,partial,381x100.5x42,,1,2,missing_hero
mdl_asv_rc100,asv-rc100,ASV,RC100,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rc85,asv-rc85,ASV,RC85,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rcv,asv-rcv,ASV,RCV,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rcv85,asv-rcv-85,ASV,RCV85,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rt_120f,asv-rt-120f,ASV,RT-120F,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rt_135f,asv-rt-135f,ASV,RT-135F,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_rt_25,asv-rt25,ASV,RT-25,review,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,0,0,missing_primary_track_size; no_products
mdl_asv_rt_30,asv-rt30,ASV,RT-30,review,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,0,0,missing_primary_track_size; no_products
mdl_asv_rt_40,asv-rt40,ASV,RT-40,review,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,0,0,missing_primary_track_size; no_products
mdl_asv_rt_50,asv-rt-50,ASV,RT-50,partial,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,1,0,missing_primary_track_size
mdl_asv_rt_60,asv-rt-60,ASV,RT-60,partial,381x100.5x42,,1,0,missing_hero
mdl_asv_rt_65,asv-rt-65,ASV,RT-65,partial,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,1,0,missing_primary_track_size
mdl_asv_rt_75,asv-rt-75,ASV,RT-75,partial,,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/ASV-multi-terrain-loader-hero.webp?v=1773971451,1,0,missing_primary_track_size
mdl_asv_rt_75_hd,asv-rt-75hd,ASV,RT-75 HD,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_sc_50,asv-sc-50,ASV,SC-50,partial,381x100.5x42,,1,2,missing_hero
mdl_asv_sr80,asv-sr-80,ASV,SR80,partial,457x101.6x51,,2,0,missing_hero
mdl_asv_vt_70,asv-vt-70,ASV,VT-70,partial,,,1,0,missing_hero; missing_primary_track_size
mdl_bobcat_220,bobcat-220,Bobcat,220,review,230x72Kx45,,0,0,missing_hero; no_products
