machine_id,brand_id,model,model_canonical,machine_type,mount_type,primary_track_size_id,horsepower,operating_weight_lbs,std_gpm,hf_gpm,std_psi,lift_type,coupler_type,validation_status,source_systems,machine_status,canonical_model_group,shopify_handle,shopify_url,navigation_source
mdl_airman_ax10u,br_airman,AX10U,AX10U,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX10U,,,
mdl_airman_ax12,br_airman,AX12,AX12,Mini Excavator,,ts_230x96x31,,,,,,,,,size_index|supplier_fitment,active_v1,Airman AX12,airman-ax12,/pages/equipment-model/airman-ax12,track_finder_v1
mdl_airman_ax12_2,br_airman,AX12-2,AX12-2,Mini Excavator,,ts_230x96x31,,,,,,,,,size_index|supplier_fitment,active_v1,Airman AX12-2,airman-ax12-2,/pages/equipment-model/airman-ax12-2,track_finder_v1
mdl_airman_ax15,br_airman,AX15,AX15,,,ts_230x96x31,,,,,,,,,size_index,review,Airman AX15,,,
mdl_airman_ax15_2,br_airman,AX15-2,AX15-2,Mini Excavator,,ts_230x96x31,,,,,,,,,size_index|supplier_fitment,active_v1,Airman AX15-2,airman-ax15-2,/pages/equipment-model/airman-ax15-2,track_finder_v1
mdl_airman_ax15u,br_airman,AX15U,AX15U,Mini Excavator,,ts_230x96x31,,,,,,,,,size_index|supplier_fitment,active_v1,Airman AX15U,airman-ax15u,/pages/equipment-model/airman-ax15u,track_finder_v1
mdl_airman_ax17_2,br_airman,AX17-2,AX17-2,,,,,,,,,,,,size_index,quarantine,Airman AX17-2,,,
mdl_airman_ax17_2n,br_airman,AX17-2N,AX17-2N,,,,,,,,,,,,size_index,quarantine,Airman AX17-2N,,,
mdl_airman_ax17cgl_2n,br_airman,AX17CGL-2N,AX17CGL-2N,,,,,,,,,,,,size_index,quarantine,Airman AX17CGL-2N,,,
mdl_airman_ax17u,br_airman,AX17U,AX17U,Mini Excavator,,ts_230x48x70,,,,,,,,,size_index,active_v1,Airman AX17U,airman-ax17u,/pages/equipment-model/airman-ax17u,track_finder_v1
mdl_airman_ax20_3,br_airman,AX20-3,AX20-3,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX20-3,,,
mdl_airman_ax20ur,br_airman,AX20UR,AX20UR,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX20UR,,,
mdl_airman_ax25_2,br_airman,AX25-2,AX25-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX25-2,,,
mdl_airman_ax30u_4,br_airman,AX30U-4,AX30U-4,Mini Excavator,,ts_300x525x86,,,,,,,,,supplier_fitment,active_v1,Airman AX30U-4,airman-ax30u-4,/pages/equipment-model/airman-ax30u-4,track_finder_v1
mdl_airman_ax351,br_airman,AX351,AX351,Mini Excavator,,ts_300x525nx84,,,,,,,,,fitment_json,active_v1,Airman AX351,airman-ax35-1,/pages/equipment-model/airman-ax35-1,track_finder_v1
mdl_airman_ax352,br_airman,AX352,AX352,Mini Excavator,,ts_300x525nx84,,,,,,,,,fitment_json,active_v1,Airman AX352,airman-ax35-2,/pages/equipment-model/airman-ax35-2,track_finder_v1
mdl_airman_ax35u,br_airman,AX35U,AX35U,Mini Excavator,,ts_300x525x86,,,,,,,,,supplier_fitment,active_v1,Airman AX35U,airman-ax35u,/pages/equipment-model/airman-ax35u,track_finder_v1
mdl_airman_ax35u_4,br_airman,AX35U-4,AX35U-4,Mini Excavator,,ts_300x525x86,,,,,,,,,supplier_fitment,active_v1,Airman AX35U-4,airman-ax35u-4,/pages/equipment-model/airman-ax35u-4,track_finder_v1
mdl_airman_ax36u,br_airman,AX36U,AX36U,Mini Excavator,,ts_300x525x86,,,,,,,,,supplier_fitment,active_v1,Airman AX36U,airman-ax36u,/pages/equipment-model/airman-ax36u,track_finder_v1
mdl_airman_ax36ucgl,br_airman,AX36UCGL,AX36UCGL,Mini Excavator,,ts_300x525x86,,,,,,,,,supplier_fitment,active_v1,Airman AX36UCGL,airman-ax36ucgl,/pages/equipment-model/airman-ax36ucgl,track_finder_v1
mdl_airman_ax40,br_airman,AX40,AX40,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40,,,
mdl_airman_ax40_2,br_airman,AX40-2,AX40-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40-2,,,
mdl_airman_ax40u,br_airman,AX40U,AX40U,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40U,,,
mdl_airman_ax40u_4,br_airman,AX40U-4,AX40U-4,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40U-4,,,
mdl_airman_ax40ur_1,br_airman,AX40UR-1,AX40UR-1,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40UR-1,,,
mdl_airman_ax40ur_2,br_airman,AX40UR-2,AX40UR-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX40UR-2,,,
mdl_airman_ax45_2,br_airman,AX45-2,AX45-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX45-2,,,
mdl_airman_ax45cgl_2,br_airman,AX45CGL-2,AX45CGL-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX45CGL-2,,,
mdl_airman_ax50,br_airman,AX50,AX50,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50,,,
mdl_airman_ax50_2,br_airman,AX50-2,AX50-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50-2,,,
mdl_airman_ax50_3,br_airman,AX50-3,AX50-3,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50-3,,,
mdl_airman_ax50u,br_airman,AX50U,AX50U,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50U,,,
mdl_airman_ax50u_4,br_airman,AX50U-4,AX50U-4,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50U-4,,,
mdl_airman_ax50ucgl,br_airman,AX50UCGL,AX50UCGL,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX50UCGL,,,
mdl_airman_ax55ur,br_airman,AX55UR,AX55UR,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX55UR,,,
mdl_airman_ax55ur_3,br_airman,AX55UR-3,AX55UR-3,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX55UR-3,,,
mdl_airman_ax58,br_airman,AX58,AX58,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX58,,,
mdl_airman_ax58mu,br_airman,AX58MU,AX58MU,,,,,,,,,,,,supplier_fitment,quarantine,Airman AX58MU,,,
mdl_airman_ax_22_1,br_airman,AX-22-1,AX-22-1,,,,,,,,,,,,size_index,quarantine,Airman AX-22-1,,,
mdl_airman_ax_22_2,br_airman,AX-22-2,AX-22-2,,,,,,,,,,,,size_index,quarantine,Airman AX-22-2,,,
mdl_airman_ax_22_cgl,br_airman,AX-22-CGL,AX-22-CGL,,,,,,,,,,,,size_index,quarantine,Airman AX-22-CGL,,,
mdl_airman_axc12,br_airman,AXC12,AXC12,Mini Excavator,,ts_230x96x31,,,,,,,,,supplier_fitment,active_v1,Airman AXC12,airman-axc12,/pages/equipment-model/airman-axc12,track_finder_v1
mdl_airman_axc15,br_airman,AXC15,AXC15,Mini Excavator,,ts_230x96x31,,,,,,,,,supplier_fitment,active_v1,Airman AXC15,airman-axc15,/pages/equipment-model/airman-axc15,track_finder_v1
mdl_airman_hm30sgz,br_airman,HM30SGZ,HM30SGZ,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM30SGZ,,,
mdl_airman_hm35,br_airman,HM35,HM35,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM35,,,
mdl_airman_hm45,br_airman,HM45,HM45,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM45,,,
mdl_airman_hm45_2,br_airman,HM45-2,HM45-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM45-2,,,
mdl_airman_hm45sg_2,br_airman,HM45SG-2,HM45SG-2,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM45SG-2,,,
mdl_airman_hm50,br_airman,HM50,HM50,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM50,,,
mdl_airman_hm55,br_airman,HM55,HM55,,,,,,,,,,,,supplier_fitment,quarantine,Airman HM55,,,
mdl_asv_f,br_asv,F,F,,,,,,,,,,,,fitment_json,quarantine,ASV F,,,
mdl_asv_md70,br_asv,MD70,MD70,,,,,,,,,,,,fitment_json,reference,ASV MD70,,,
mdl_asv_md_70,br_asv,MD-70,MD-70,,,,,,,,,,,,shopify_meta,reference,ASV MD-70,,,
mdl_asv_posi_trac2800,br_asv,POSI-TRAC2800,POSI-TRAC2800,Multi-Terrain Loader,Universal Quick-Attach,ts_457x1016x56,70,7450,25.0,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,ASV POSI-TRAC2800,asv-posi-trac2800,/pages/equipment-model/asv-posi-trac2800,track_finder_v1
mdl_asv_posi_trac2810,br_asv,POSI-TRAC2810,POSI-TRAC2810,Multi-Terrain Loader,Universal Quick-Attach,ts_457x1016x56,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,active_v1,ASV POSI-TRAC2810,asv-posi-trac2810,/pages/equipment-model/asv-posi-trac2810,track_finder_v1
