product_id,sku,supplier_sku,shopify_sku,title,product_type,track_size_id,pattern,cost,price,qty_available,weight_lbs,product_url,source_systems
prd_10ott1_2,10OTT1/2,10OTT1/2,,"BOTT HALF LINK 10""",Undercarriage Part,,,,131,12,,https://www.mwedealers.com/BOTT-HALF-LINK-10,supplier_products
prd_10x28lm,10X28LM,10X28LM,,Over Tire Track for 10-16.5 Skid Steer Tires - OTTs - Sold Individually,Tire,,,,1745,0,,https://www.mwedealers.com/10-16.5X28-LM-CAMOPLAST-HXD-OTT-TRACK-FOR-USE-WITH-APPROVED-10X16.5-OR-27X10.50-15-TIRES,supplier_products
prd_12ott3_4,12OTT3/4,12OTT3/4,,"BOTT 3/4 LINK 12""",Undercarriage Part,,,,146,17,,https://www.mwedealers.com/BOTT-3-4-LINK-12,supplier_products
prd_12ottfull,12OTTFULL,12OTTFULL,,"BOTT FULL LINK 12""",Undercarriage Part,,,,151,55,,https://www.mwedealers.com/BOTT-FULL-LINK-12,supplier_products
prd_12x29lm,12X29LM,12X29LM,,Over Tire Track for 12-16.5 Skid Steer Tires - OTTs - Sold Individually,Tire,,,,1857,1,,https://www.mwedealers.com/12-16.5X29-LM-CAMOPLAST-HXD-OTT-TRACK-FOR-USE-WITH-APPROVED-12X16.5-TIRES,supplier_products
prd_160x87x28,160X87X28,,,,Rubber Track,,,237.00,263.00,,41,,sales_quote
prd_160x87x37,160X87X37,,,,Rubber Track,,,321.00,356.00,,38,,sales_quote
prd_180x72x36,180X72X36,,,,Rubber Track,,,171.00,190.00,,55,,sales_quote
prd_180x72x37,180X72X37,,,,Rubber Track,,,171.00,190.00,,59,,sales_quote
prd_180x72x39,180X72X39,,,,Rubber Track,,,181.00,201.00,,59,,sales_quote
prd_180x72x40,180X72X40,,,,Rubber Track,,,186.00,206.00,,55,,sales_quote
prd_180x72x41,180X72X41,,,,Undercarriage Part,,,208.00,231.00,,,,sales_quote
prd_180x72x42,180X72X42,,,,Rubber Track,,,235.00,261.00,,55,,sales_quote
prd_180x72x44,180X72X44,,,,Rubber Track,,,235.00,261.00,,64,,sales_quote
prd_180x72x45,180X72X45,,,,Rubber Track,,,230.00,255.00,,68,,sales_quote
prd_230x48x70,230X48X70,,,,Rubber Track,,,410.00,455.00,,167,,sales_quote
prd_230x48x72,230X48X72,,,,Rubber Track,,,415.00,461.00,,88,,sales_quote
prd_230x72x39,230X72X39,,,,Rubber Track,,,302.00,335.00,,80,,sales_quote
prd_230x72x43,230X72X43,,,,Rubber Track,,,345.00,383.00,,88,,sales_quote
prd_230x72x44,230X72X44,,,,Rubber Track,,,365.00,405.00,,83,,sales_quote
prd_230x72x45,230X72X45,,,,Rubber Track,,,385.00,427.00,,93,,sales_quote
prd_230x96x42,230X96X42,,,,Rubber Track,,,530.00,588.00,,91,,sales_quote
prd_240x87x28,240X87X28,,,,Rubber Track,,,334.00,371.00,,48,,sales_quote
prd_240x87x37,240X87X37,,,,Rubber Track,,,435.00,483.00,,42,,sales_quote
prd_250x72x45,250X72X45,,,,Rubber Track,,,385.00,427.00,,104,,sales_quote
prd_250x72x52,250X72X52,,,,Rubber Track,,,430.00,477.00,,111,,sales_quote
prd_300x52_5nx72,300X52.5NX72,,,,Rubber Track,,,675.00,749.00,,277,,sales_quote
prd_300x52_5nx74,300X52.5NX74,,,,Rubber Track,,,605.00,672.00,,283,,sales_quote
prd_300x52_5nx76,300X52.5NX76,,,,Rubber Track,,,710.00,788.00,,298,,sales_quote
prd_300x52_5nx78,300X52.5NX78,,,,Rubber Track,,,710.00,788.00,,120,,sales_quote
prd_300x52_5nx80,300X52.5NX80,,,,Rubber Track,,,725.00,805.00,,312,,sales_quote
prd_300x52_5nx84,300X52.5NX84,,,,Rubber Track,,,800.00,888.00,,327,,sales_quote
prd_300x52_5nx86,300X52.5NX86,,,,Rubber Track,,,695.00,771.00,,387,,sales_quote
prd_300x52_5nx88,300X52.5NX88,,,,Rubber Track,,,885.00,982.00,,389,,sales_quote
prd_300x52_5nx92,300X52.5NX92,,,,Rubber Track,,,640.00,710.00,,389,,sales_quote
prd_300x52_5wx78,300X52.5WX78,,,,Rubber Track,,,705.00,783.00,,308,,sales_quote
prd_300x52_5wx82,300X52.5WX82,,,,Rubber Track,,,670.00,744.00,,314,,sales_quote
prd_300x52_5wx84,300X52.5WX84,,,,Rubber Track,,,685.00,760.00,,321,,sales_quote
prd_300x52_5wx90,300X52.5WX90,,,,Rubber Track,,,730.00,810.00,,388,,sales_quote
prd_3208654mb,3208654MB,,,,Undercarriage Part,,,735.00,816.00,,,,sales_quote
prd_3208654sb,3208654SB,,,,Undercarriage Part,,,710.00,788.00,,,,sales_quote
prd_320x52_5nx92,320X52.5NX92,,,,Rubber Track,,,810.00,899.00,,389,,sales_quote
prd_320x84x46cb,320X84X46CB,,,,Rubber Track,,,635.00,705.00,,115,,sales_quote
prd_320x86x49cb,320X86X49CB,,,,Rubber Track,,,695.00,771.00,,378,,sales_quote
prd_320x86x49mb,320X86X49MB,,,,Rubber Track,,,750.00,833.00,,378,,sales_quote
prd_320x86x49mt,320X86X49MT,,,,Rubber Track,,,715.00,794.00,,378,,sales_quote
prd_320x86x49zz,320X86X49ZZ,,,,Rubber Track,,,665.00,738.00,,397,,sales_quote
prd_320x86x50cb,320X86X50CB,,,,Rubber Track,,,750.00,833.00,,388,,sales_quote
prd_320x86x50mb,320X86X50MB,,,,Rubber Track,,,765.00,849.00,,388,,sales_quote
prd_320x86x50xt,320X86X50XT,,,,Rubber Track,,,780.00,866.00,,388,,sales_quote
