Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
cr03712-00100,MERGE,TRUE,CR03712-00100,"model.takeuchi-tb025, model.takeuchi-tb035, model.takeuchi-tb125, model.takeuchi-tb135, model.takeuchi-tb138fr, model.takeuchi-tb225, model.takeuchi-tb228, model.takeuchi-tb230, model.takeuchi-tb235, model.takeuchi-tb240"
cr03912-00100,MERGE,TRUE,CR03912-00100,"model.takeuchi-tb045, model.takeuchi-tb145, model.takeuchi-tb153fr, model.takeuchi-tb250, model.takeuchi-tb53fr"
cr05612-04080,MERGE,TRUE,CR05612-04080,"model.takeuchi-tb175, model.takeuchi-tb180fr"
cr1180-9221,MERGE,TRUE,CR1180-9221,"model.hitachi-zx40u-2, model.hitachi-zx50u, model.hitachi-zx50u-2, model.volvo-ec-35, model.volvo-ec27c, model.volvo-ec27d, model.volvo-ec35c, model.volvo-ec35d, model.volvo-ecr28, model.volvo-ecr38"
cr1181-00430,MERGE,TRUE,CR1181-00430,"model.volvo-ec55, model.volvo-ec55b, model.volvo-ecr58"
cr146-6064,MERGE,TRUE,CR146-6064,"model.cat-302-5, model.cat-302-5c, model.cat-303-5"
cr193-7070,MERGE,TRUE,CR193-7070,model.cat-303-cr
cr20t-30-00050,MERGE,TRUE,CR20T-30-00050,"model.komatsu-pc25-1, model.komatsu-pc78mr-6"
cr20t-30-00060,MERGE,TRUE,CR20T-30-00060,"model.komatsu-pc25-1, model.komatsu-pc30-7"
cr265-7675,MERGE,TRUE,CR265-7675,"model.cat-304c-cr, model.cat-305-5d-cr, model.cat-305-5e-cr, model.cat-305-5e2-cr, model.cat-305c-cr, model.cat-305dcr, model.cat-305e-cr"
cr266-8794,MERGE,TRUE,CR266-8794,"model.cat-303-5-cr, model.cat-303-5ccr, model.cat-303-5d-cr, model.cat-303-5e-cr, model.cat-303c-cr, model.cat-303ecr, model.cat-304d-cr, model.cat-304e-cr"
cr277-8576,MERGE,TRUE,CR277-8576,"model.cat-304, model.cat-304cr, model.cat-306cr, model.cat-307, model.cat-308, model.cat-308-cr, model.cat-308c-sr, model.cat-308e2-cr"
cr4392416,MERGE,TRUE,CR4392416,"model.hitachi-ex35-1, model.hitachi-ex50u, model.hitachi-ex58mu, model.hitachi-zx35u, model.hitachi-zx50u, model.john-deere-35zts, model.john-deere-50zts, model.john-deere-60d, model.john-deere-60g, model.kubota-kx161-3, model.kubota-u-45-3, model.kubota-u45s, model.kubota-u48-5"
cr4718355,MERGE,TRUE,CR4718355,"model.hitachi-zx27u-3, model.hitachi-zx35u-5, model.hitachi-zx50u-3, model.hitachi-zx50u-5, model.john-deere-26g, model.john-deere-27d, model.john-deere-30g, model.john-deere-35d, model.john-deere-35g, model.john-deere-50d, model.john-deere-50g"
cr7012275,MERGE,TRUE,CR7012275,model.bobcat-e80
cr7020867,MERGE,TRUE,CR7020867,"model.bobcat-e32, model.bobcat-e35, model.bobcat-e35i, model.bobcat-e42, model.bobcat-e45, model.bobcat-e50, model.bobcat-e55, model.doosan-dx35-5"
cr7257873,MERGE,TRUE,CR7257873,"model.bobcat-e26, model.volvo-ec-35, model.volvo-ec25, model.volvo-ec27c, model.volvo-ec30"
cr9237948,MERGE,TRUE,CR9237948,"model.hitachi-zx27u-3, model.john-deere-27d, model.john-deere-35d, model.komatsu-pc27mr-2, model.komatsu-pc27mr-3, model.komatsu-pc30mr-3, model.komatsu-pc35mr-2, model.komatsu-pc35mr-3"
cr9239529,MERGE,TRUE,CR9239529,"model.hitachi-zx40u-2, model.hitachi-zx50u-2, model.hitachi-zx50u-3, model.john-deere-50d, model.komatsu-pc-45mr-1, model.komatsu-pc30, model.komatsu-pc30r-8, model.komatsu-pc35mr-1, model.komatsu-pc35r-8, model.komatsu-pc45mr-3, model.komatsu-pc50mr-2, model.komatsu-pc55mr-3"
crlk327,MERGE,TRUE,CRLK327,"model.john-deere-75g, model.john-deere-75p, model.john-deere-85g, model.john-deere-85p"
crps64d01001f1,MERGE,TRUE,CRPS64D01001F1,"model.case-cx55b, model.new-holland-e55bx"
crpv64d00001f1,MERGE,TRUE,CRPV64D00001F1,"model.case-ck28, model.case-cx27b, model.case-cx31, model.case-cx31b, model.case-cx35, model.case-cx36b, model.new-holland-e-35sr, model.new-holland-e-40sr"
crpw64d01017f2,MERGE,TRUE,CRPW64D01017F2,"model.case-cx36, model.kobelco-sk35sr, model.new-holland-e30c"
crrc411-21903,MERGE,TRUE,CRRC411-21903,"model.kubota-k-030-3, model.kubota-k-035-3, model.kubota-kx-101-3, model.kubota-kx-61-3, model.kubota-kx033-4, model.kubota-kx71-3, model.kubota-kx71-3s, model.kubota-kx91-3, model.kubota-u-25-3, model.kubota-u-30-3, model.kubota-u25, model.kubota-u27-4, model.kubota-u35, model.kubota-u35-4"
crrd411-22900,MERGE,TRUE,CRRD411-22900,"model.bobcat-e26, model.jcb-8040zts, model.jcb-8045zts, model.jcb-805-2, model.jcb-8060, model.john-deere-35zts, model.john-deere-50zts, model.john-deere-60g, model.komatsu-pc35r-8, model.kubota-kx040-4, model.kubota-kx057-4, model.kubota-kx057-5, model.kubota-kx121-3, model.kubota-kx161-3, model.kubota-kx161-3s, model.kubota-u-30-3, model.kubota-u-45-3, model.kubota-u-48-4, model.kubota-u45s, model.kubota-u48-5, model.kubota-u55, model.kubota-u55-4, model.kubota-u55-5, model.volvo-ec25, model.volvo-ec30"
crrd809-21900,MERGE,TRUE,CRRD809-21900,"model.bobcat-e50, model.kubota-kx080-3"
crt006m027,MERGE,TRUE,CRT006M027,"model.gehl-802, model.jcb-803, model.jcb-804"
cryt64d01001f1,MERGE,TRUE,CRYT64D01001F1,"model.case-cx47, model.case-cx50b, model.case-cx55b, model.kobelco-sk45sr-2, model.kobelco-sk55srx, model.kobelco-sk85cs, model.new-holland-e-50b, model.new-holland-e50sr, model.new-holland-eh-50b, model.new-holland-eh45"
fi03714-00000,MERGE,TRUE,FI03714-00000,"model.kobelco-sk024, model.kobelco-sk025, model.kobelco-sk025-2, model.kobelco-sk025sr, model.takeuchi-tb025, model.takeuchi-tb035, model.takeuchi-tb125, model.takeuchi-tb135, model.takeuchi-tb138fr, model.takeuchi-tb228, model.takeuchi-tb230, model.takeuchi-tb235, model.takeuchi-tb240"
fi04214-01200,MERGE,TRUE,FI04214-01200,model.takeuchi-tb216
fi04614-90010,MERGE,TRUE,FI04614-90010,"model.takeuchi-tb045, model.takeuchi-tb145, model.takeuchi-tb153fr, model.takeuchi-tb250, model.takeuchi-tb53fr"
fi05614-00600,MERGE,TRUE,FI05614-00600,"model.takeuchi-tb175, model.takeuchi-tb180fr, model.takeuchi-tb290, model.takeuchi-tb80fr"
fi05614-03100,MERGE,TRUE,FI05614-03100,"model.takeuchi-tb280fr, model.takeuchi-tb285, model.takeuchi-tb290"
fi06814-00019,MERGE,TRUE,FI06814-00019,"model.takeuchi-tl10v2, model.takeuchi-tl8r2"
fi08801-40000,MERGE,TRUE,FI08801-40000,"model.gehl-ctl60, model.gehl-ctl65, model.mustang-mtl16, model.mustang-mtl316, model.takeuchi-tl130, model.takeuchi-tl230, model.takeuchi-tl230-2, model.takeuchi-tl8"
fi08811-40300,MERGE,TRUE,FI08811-40300,"model.gehl-ctl70, model.gehl-ctl75, model.gehl-ctl80, model.gehl-ctl85, model.mustang-mtl20, model.mustang-mtl25, model.mustang-mtl320, model.mustang-mtl325, model.takeuchi-tl10, model.takeuchi-tl12, model.takeuchi-tl12v2, model.takeuchi-tl140, model.takeuchi-tl150, model.takeuchi-tl240, model.takeuchi-tl250"
fi172-2100,MERGE,TRUE,FI172-2100,"model.cat-303-5, model.cat-303-cr"
fi226-4049,MERGE,TRUE,FI226-4049,"model.cat-301-5, model.cat-301-8"
fi240-6304,MERGE,TRUE,FI240-6304,model.cat-304-5
