track_size_id,canonical_size,base_size,width_mm,pitch,guide,links,source_count,source
ts_150x48bx67,150x48Bx67,150x48Bx67,150.0,48.0,B,67,1,tracktech_spec_export
ts_160x8763x28,160x87.63x28,160x87.63x28,160.0,87.63,,28,2,tracktech_spec_export
ts_160x8763x37,160x87.63x37,160x87.63x37,160.0,87.63,,37,2,tracktech_spec_export
ts_180x60x39,180x60x39,180x60x39,180.0,60.0,,39,1,tracktech_spec_export
ts_180x72x33,180x72x33,180x72x33,180.0,72.0,,33,1,tracktech_spec_export
ts_180x72x36,180x72x36,180x72x36,180.0,72.0,,36,1,tracktech_spec_export
ts_180x72x37,180x72x37,180x72x37,180.0,72.0,,37,1,tracktech_spec_export
ts_180x72x39,180x72x39,180x72x39,180.0,72.0,,39,3,tracktech_spec_export
ts_180x72x40,180x72x40,180x72x40,180.0,72.0,,40,1,tracktech_spec_export
ts_180x72x41,180x72x41,180x72x41,180.0,72.0,,41,1,tracktech_spec_export
ts_180x72x42,180x72x42,180x72x42,180.0,72.0,,42,1,tracktech_spec_export
ts_180x72kx44,180x72Kx44,180x72Kx44,180.0,72.0,K,44,1,tracktech_spec_export
ts_180x72kx45,180x72Kx45,180x72Kx45,180.0,72.0,K,45,2,tracktech_spec_export
ts_230x48x60,230x48x60,230x48x60,230.0,48.0,,60,1,tracktech_spec_export
ts_230x48x62,230x48x62,230x48x62,230.0,48.0,,62,1,tracktech_spec_export
ts_230x48x64,230x48x64,230x48x64,230.0,48.0,,64,1,tracktech_spec_export
ts_230x48x68,230x48x68,230x48x68,230.0,48.0,,68,1,tracktech_spec_export
ts_230x48x70,230x48x70,230x48x70,230.0,48.0,,70,2,tracktech_spec_export
ts_230x48x72,230x48x72,230x48x72,230.0,48.0,,72,1,tracktech_spec_export
ts_230x72x39,230x72x39,230x72x39,230.0,72.0,,39,1,tracktech_spec_export
ts_230x72x42,230x72x42,230x72x42,230.0,72.0,,42,1,tracktech_spec_export
ts_230x72x43,230x72x43,230x72x43,230.0,72.0,,43,1,tracktech_spec_export
ts_230x72kx44,230x72Kx44,230x72Kx44,230.0,72.0,K,44,1,tracktech_spec_export
ts_230x72kx45,230x72Kx45,230x72Kx45,230.0,72.0,K,45,1,tracktech_spec_export
ts_230x96x31,230x96x31,230x96x31,230.0,96.0,,31,1,tracktech_spec_export
ts_230x96x36,230x96x36,230x96x36,230.0,96.0,,36,1,tracktech_spec_export
ts_240x8763x28,240x87.63x28,240x87.63x28,240.0,87.63,,28,2,tracktech_spec_export
ts_240x8763x37,240x87.63x37,240x87.63x37,240.0,87.63,,37,2,tracktech_spec_export
ts_250x48bx67,250x48Bx67,250x48Bx67,250.0,48.0,B,67,1,tracktech_spec_export
ts_250x72x39,250x72x39,250x72x39,250.0,72.0,,39,2,tracktech_spec_export
ts_250x72x45,250x72x45,250x72x45,250.0,72.0,,45,1,tracktech_spec_export
ts_250x72x52,250x72x52,250x72x52,250.0,72.0,,52,2,tracktech_spec_export
ts_300x525x86,300x52.5x86,300x52.5x86,300.0,52.5,,86,1,tracktech_spec_export
ts_300x525kx86,300x52.5Kx86,300x52.5Kx86,300.0,52.5,K,86,1,tracktech_spec_export
ts_300x525kx88,300x52.5Kx88,300x52.5Kx88,300.0,52.5,K,88,1,tracktech_spec_export
ts_300x525nx74,300x52.5Nx74,300x52.5Nx74,300.0,52.5,N,74,1,tracktech_spec_export
ts_300x525nx76,300x52.5Nx76,300x52.5Nx76,300.0,52.5,N,76,1,tracktech_spec_export
ts_300x525nx78,300x52.5Nx78,300x52.5Nx78,300.0,52.5,N,78,1,tracktech_spec_export
